x,y0,y1,y2,y3,b
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Makanan lain yang bisa saya makan adalah broccoli beef yang luar biasa!
Kalimat Baru: ",Makanan lain yang bisa saya makan adalah broccoli beefnya.,Makanan lain yang saya coba adalah broccoli beef.,Makanan lain yang bisa saya makan adalah broccoli beef yang sangat buruk!,Makanan lain yang saya coba adalah broccoli beef.,2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pekerjaan buruk pada warna dan potongan rambut saya.
Kalimat Baru: ",Pekerjaan yang bagus pada warna dan potongan rambut saya!,Pekerjaan yang bagus pada warna dan potongan rambut saya.,Pekerjaan yang bagus pada warna dan potongan rambut saya.,Pekerjaan bagus pada warna dan potongan rambut saya.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Dia melakukan pekerjaan yang luar biasa pada warna dan potongan rambut saya!
Kalimat Baru: ",Dia melakukan pekerjaan yang buruk pada warna dan potongan rambut saya!,Dia melakukan pekerjaan yang fantastis pada warna dan potongan rambut saya!,Tidak melakukan pekerjaan yang baik pada warna dan potong rambut saya.,Dia melakukan pekerjaan yang buruk pada warna dan potongan rambut saya!,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tempat yang berisik untuk menonton game di tv dan mencoba berinteraksi dengan orang-orang.
Kalimat Baru: ",Tempat yang bagus untuk menonton game di tv dan mencoba berinteraksi dengan orang-orang yang baik.,Tempat yang tenang untuk menonton game di tv dan mencoba berinteraksi dengan orang-orang.,Tempat yang tenang dan tenang untuk menonton game di tv.,Tempat yang tenang dan tenang untuk menonton game di tv.,1
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tempat yang menyenangkan untuk menonton game di tv dan berinteraksi dengan orang-orang.
Kalimat Baru: ","Tempat yang buruk untuk menonton pertandingan, terutama jika kamu lebih memilih untuk tidak berinteraksi dengan orang.",Tempat yang buruk untuk menonton game di tv dan berinteraksi dengan orang-orang.,Tempat yang buruk untuk menonton game di tv dan berinteraksi dengan orang-orang.,Tempat yang buruk untuk menonton game di tv.,1
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kami menghindari untuk mengembalikan truk sewa di sini dua minggu yang lalu.
Kalimat Baru: ",Kami bahkan mungkin menyewa truk dari lokasi ini di waktu mendatang.,Kami akan mengembalikan truk kami ke perusahaan sewa yang lain.,Kami mengembalikan truk sewa di sini dua minggu yang lalu. ,Kami pergi dengan keluarga kami dan pulang dengan sangat senang.,2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kami mengembalikan truk sewa kami di lokasi ini dua minggu yang lalu.
Kalimat Baru: ",Kami mengembalikan truk kami di lokasi ini dua minggu yang lalu.,Kami mengembalikan truk sewa kami ke lokasi ini dua minggu yang lalu.,Kami menghindari untuk mengembalikan truk sewa kami di lokasi ini dua minggu yang lalu. ,Kami mengembalikan truk kami yang disewakan di lokasi ini dua minggu yang lalu.,2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sekarang saya masih perlu membeli kaleng penangkap untuk tutup botolnya
Kalimat Baru: ",sekarang saya sudah tidak perlu membeli kaleng penangkap untuk tutup botolnya ,"kalo tidak salah, saya mungkin membeli kaleng yang lebih murah untuk tutup botol.",saya hanya berharap saya bisa membeli kotak kecil untuk tempat tutup botol.,saya akan membeli lebih banyak kaleng untuk menyimpan tutup botol.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sekarang saya hanya perlu membeli kaleng untuk tutup botolnya.
Kalimat Baru: ",saya hanya berharap dapat membeli beberapa klaritin untuk penutup botol.,sekarang saya tidak perlu membeli kaleng untuk tutup botolnya. ,sekarang saya tidak perlu membeli tutup botol.,saya hanya berharap saya bisa membeli botol ukuran sen yang lebih murah,1
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tempat ini memiliki staff yang tidak ramah, pelayanan yang buruk, dan makanan yang biasa saja.
Kalimat Baru: ","Tempat ini memiliki pelayanan yang sangat baik, makanan yang sangat enak, dan staff yang sangat ramah.","Tempat ini memiliki staff dan pelayanan yang luar biasa, makanan yang enak, dan harga yang tepat.","Tempat ini memiliki staff yang baik, pelayanan yang baik, dan makanan yang enak.","Tempat ini memiliki staff yang sangat ramah, pelayanan yang bagus, dan makanan yang enak.",3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Staff yang sangat ramah, layanan yang cepat dan luar biasa dan makanan sederhana dimasak dengan benar!
Kalimat Baru: ","Staff yang kasar, layanan cepat dan buruk dan makanan yang buruk di daerah ini.","Staff yang sangat kasar, layanan yang lambat dan makanannya hambar.",Staff yang sangat kasar dan layanan yang sangat lambat!,"Staff yang sangat kasar, layanan yang lambat dan makanan yang buruk.",3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Itu bukan sesuatu yang spesial dalam suatu bisnis.
Kalimat Baru: ",Itu adalah sesuatu yang spesial tentang bisnis mereka.,Itu sesuatu yang spesial dalam bisnis mereka.,Ini adalah sesuatu yang spesial dalam sebuah bisnis.,Itu adalah sesuatu yang istimewa dalam sebuah bisnis.,3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pelayanannya buruk dan makanannya tidak enak.
Kalimat Baru: ",Pelayanannya baik dan makanannya enak.,Pelayanan yang baik dan makanannya enak secara keseluruhan.,Pelayanannya bagus dan makanannya enak.,Pelayanannya baik dan makanannya enak.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pelayanannya sangat baik dan makanannya sangat enak.
Kalimat Baru: ",Pelayanannya tidak baik dan makanannya tidak dimasak dengan benar.,Pelayanannya buruk dan makanannya tidak enak.,Pelayanan yang buruk dan makanan yang buruk.,Pelayanannya buruk dan makanannya tidak enak.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sangat buruk, jangan memesan dari tempat ini.
Kalimat Baru: ","Tempat ini sangat bagus, kamu harus memesan dari mereka!","Sangat bagus, memesan lebih banyak dari yang lain.","Tempat ini sangat bagus, kamu harus memesan dari mereka!","Sangat bagus, saya akan memesan lagi.",2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sangat luar biasa, pastikan memesan dari tempat ini.
Kalimat Baru: ","Sangat buruk, jangan memesan dari tempat ini.",Tidak perlu memesan dari tempat ini.,"Tidak, pastikan kamu memesan dari tempat yang luar biasa.","Tidak, pastikan Anda memesan dari tempat yang sah.",0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Suasananya membosankan dan staff memperlakukanmu dengan buruk.
Kalimat Baru: ",Suasana yang selalu baik di sini.,Suasana yang selalu baik dan staff yang sangat ramah!,Suasananya menyenangkan dan staff memperlakukanmu dengan baik. ,"Suasana yang selalu menyenangkan, staff yang luar biasa, makanan yang tidak begitu bagus.",2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Suasananya menyenangkan dan staff memperlakukanmu dengan baik.
Kalimat Baru: ",Suasana yang tidak menyenangkan dan staff yang kasar.,Suasananya membosankan dan staff memperlakukanmu dengan buruk. ,Suasana yang buruk dan staff yang kasar.,Suasaanya tidak memuaskan dan staff tidak memperlakukanku dengan baik sama seperti di rumahku.,1
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: setelah mati saya tidak akan membeli unit ini.
Kalimat Baru: ","setelah mati, saya akan mempertimbangkan untuk membeli unit ini lagi.",saya akan membeli unit ini lagi jika harganya turun.,setelah mati saya akan membeli unit ini lagi,setelah mati saya akan terus membeli unit ini,2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya tidak suka koleksi desain bintang mereka.
Kalimat Baru: ",Saya suka koleksi desain bintang mereka.,Saya suka koleksi bintang-dihombik mereka.,Saya suka koleksi desain bintang mereka.,Saya suka koleksi desain bintang mereka.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya suka koleksi desain bintang mereka.
Kalimat Baru: ",Saya benci koleksi desain bintang mereka.,Saya benci koleksi desain bintang mereka.,Saya benci koleksi desain bintang mereka.,Saya lebih suka desain bintang mereka yang lain.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bahan-bahannya sudah lama.
Kalimat Baru: ",Bahan-bahannya telah jadi.,Bahan-bahannya masih dalam kondisi yang cukup baik.,Bahan-bahannya baru dan segar.,Bahan-bahan yang digunakan adalah bahan-bahan berkualitas tinggi.,2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kamu bisa tau betapa segar bahan-bahannya.
Kalimat Baru: ",Kamu bisa tau betapa segar dan berkualitas tinggi dari bahan-bahannya.,Kamu bisa tau segarannya dari yang ini.,Kamu tidak bisa tau bagaimana segar dan berkualitas tinggi erosa membuat produknya.,Kamu tidak bisa tau bahwa bahan-bahan ini segar dan berkualitas tinggi.,3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ketika itu datang, kami sangat bahagia.
Kalimat Baru: ","Ketika itu akhirnya datang, kami sangat kecewa.",Waktu yang sulit.,"Ketika itu tidak datang, kami sangat kecewa.","Ketika itu akhirnya datang, kami sangat kecewa.",0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mengklaim sebagai pizza terbaik di Arizona, saya rasa itu tidak benar sama sekali.
Kalimat Baru: ","Mengklaim sebagai pizza terbaik di Arizona, saya rasa itu salah.","Mengklaim sebagai pizza terbaik di Arizona, saya rasa saya harus mengatakan sebaliknya.","Mengklaim sebagai pizza terbaik di Arizona, saya rasa setuju dengan itu. ","Mengklaim sebagai pizza terbaik yang ada di Arizona, dan saya katakan itu tidak benar sama sekali.",2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Grimaldi adalah tempat pizza yang selalu luar biasa konsistennya di Arizona.
Kalimat Baru: ",Grorydi adalah tempat pizza biasa saja.,Grieldi adalah tempat pizza terburuk di Arizona.,Grimaldi adalah tempat pizza yang sangat buruk di Arizona.,Grimaldi bukanlah tempat pizza yang konsisten di Arizona.,3
