x,y0,y1,y2,y3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Staff tidak bisa ditemukan di mana pun.
Kalimat Baru: ",Staff hadir untuk saya saat saya tiba.,Staff yang sangat ramah dan membantu.,Staff selalu membantu dan ramah.,Staff yang luar biasa.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Staff selalu ada.
Kalimat Baru: ",Staff selalu bagus saat di sana.,Staffnya selalu buruk.,Staff tidak selalu ada.,Staff tidak ada yang membantu atau ramah.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tapi barangnya mungkin tidak benar-benar ada di stok juga
Kalimat Baru: ",Aku yakin barang yang dikirimkan akan mendekati stok.,Tapi barangnya datang dalam waktu yang wajar.,Tapi barangnya datang dengan cepat.,Tapi barangnya datang ke saya dengan cepat.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Semuanya selalu ada di stok di sini.
Kalimat Baru: ",Tidak ada produk yang tersedia di toko.,Tidak ada di stok dan tidak ada yang memberitahu saya mengapa tidak.,Tidak ada yang tersedia di sini.,Tidak ada produk yang bisa saya temui di sana.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya tidak akan membeli ini lagi di masa depan.
Kalimat Baru: ",saya akan membeli ini lagi di masa depan.,Saya akan membeli lagi jika harganya turun.,saya akan membeli ini lagi di masa depan,saya akan membeli lagi jika harganya turun.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya pasti akan membeli ini lagi di masa depan
Kalimat Baru: ",saya tidak akan membeli ini lagi.,aku tidak akan membeli ini lagi.,Saya tidak akan membeli ini lagi.,saya tidak akan membeli ini lagi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tidak bernilai uang, bisa dengan mudah tanpanya.
Kalimat Baru: ","ini sangat bernilai uang, bisa saja dikembalikan.","ini bernilai uang, bisa saja hilang dengan mudah.","ini bernilai uang, bisa jadi seperti ini.","itu sangat bernilai uang, bisa saja saya membayar untuk itu."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sepadan dengan uang yang dikeluarkan, saya tidak ingin hidup tanpanya.
Kalimat Baru: ","tidak sia-sia uang saya, hidup tanpa suasa indah kutub adalah kerugian besar.","sepadan dengan uang yang dikeluarkan, saya ingin hidup tanpanya.","suka sekali hidup ini, saya tiada rasa bosan.",saya dapat membeli semua pakaian saya dengan harga yang saya bayar.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kejadian malang yang terjadi dan mereka tidak peduli untuk menghadapinya.
Kalimat Baru: ",Kejadian baik yang terjadi dan mereka sangat peduli.,"Kejadian yang hebat, mereka mengambil tanggung jawab ini secara serius.",Kejadian hebat yang terjadi dan mereka menangani semuanya dengan sangat baik.,Kejadian baik yang terjadi dan mereka mengambil tanggung jawab untuk itu.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mereka menangani semua barang yang rusak.
Kalimat Baru: ",Tidak ada barang yang pernah saya berikan untuk diganti.,Tidak ada yang bisa membantu saya terutama ketika saya mencoba.,Semua barang-barang yang saya kirim berhenti di tempat yang seharusnya.,Tidak ada barang-barang yang rusak di dalam kotak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: anker, tidak menyukainya
Kalimat Baru: ","anker, begitu juga dengan Anda.","anton, pengalamannya buruk.","anker, yang lain menyukai ini.","anker, hal yang paling penting adalah ia bekerja dengan android device case saya."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: anker adalah produk bagus meskipun saya belum pernah mendengarnya.
Kalimat Baru: ",anakkerinya anker dan itu bukan masalah besar.,anakku anker yang kecil rusak setelah hanya satu kali digunakan,anakkeri adalah produk buruk meskipun saya sudah sering mendengar tentang mereka.,anakkeris adalah produk bagus meskipun saya belum pernah mendengar tentang itu.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sepertinya saya lupa betapa tidak menariknya penawaran mereka.
Kalimat Baru: ","Mereka menawarkan penawaran yang bagus, yang merupakan kesepakatan bagus.",Saya rasa saya salah dan tidak boleh memercikkan lebah ke wajah saya.,"Seperti biasa, mereka menawarkan penawaran yang bagus.",Sepertinya mereka sangat memperhatikan penawaran mereka.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya hampir lupa betapa hebatnya penawaran mereka!
Kalimat Baru: ",Saya lupa betapa hebatnya penawaran mereka.,Saya hampir lupa bagaimana tawaran hebatnya.,Saya lupa betapa hebat penawaran mereka.,Saya lupa bagaimana hebat penawaran mereka.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tidak ada ban, penyetelan, dan rem, sama sekali tidak ada.
Kalimat Baru: ",Mereka memiliki ban belakang yang sangat nyaman dan penyetelan yang sangat bagus.,"Ada ban, penyetelan, dan rem, begitu juga dengan karet gelang.","Mereka selalu menggunakan ban, penyetelan yang sempurna, dan rem yang lancar.","sebagai syarat untuk ban, penyetelan, dan rem, ini adalah set functional yang lengkap."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ban, penyetelan, rem, dan lainnya.
Kalimat Baru: ",Saya tidak pernah melihat lebih banyak dari itu.,"Tidak ada ban, penyetelan, rem, atau apa pun yang dapat Anda temukan di mobil.","Saya ingin makan dan pergi, tapi mereka yang ada disana membuat saya kesal.","Tidak ada ban, penyetelan, rem, atau sesuatu yang saya tidak nikmati."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ya, porsinya besar tapi ukuran bukan segalanya.
Kalimat Baru: ","Ya, porsinya kecil tapi ukuran sangat sempurna.","Ya, porsinya sangat besar, tapi saya tidak bisa membawanya di saku dan digunakan.","Ya, porsinya sempurna.","Ya, porsinya cukup besar dan ukuran perfecto."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Itu besar dan cukup untuk dua orang.
Kalimat Baru: ",Itu sangat kecil dan tidak mencukupi untuk dua orang.,Itu tidak terlalu besar dan tidak cukup untuk dua orang.,Itu terlalu kecil dan tidak cukup untuk dua orang.,Itu kecil dan tidak cukup untuk dua orang.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: panci ini baru saya miliki selama satu tahun.
Kalimat Baru: ",paci ini telah saya miliki selama beberapa tahun,panci ini telah saya miliki selama beberapa tahun.,pacu ini telah saya miliki selama beberapa tahun,pici ini sudah memiliki selama num_num tahun.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: panci ini saya miliki selama satu tahun.
Kalimat Baru: ",panci ini telah saya miliki selama num_num tahun,panci ini telah menjadi sangat rusak sehingga saya harus mengganti yang lama dengan yang baru.,puci ini saya miliki selama beberapa tahun,pacu ini telah saya miliki selama beberapa tahun.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Terlalu berlemak dalam makanannya dan birnya terlalu hangat.
Kalimat Baru: ",Selalu enak dalam makanannya dan birnya juga enak.,Selalu memuaskan dalam makanannya dan birnya juga sempurna.,"Bebas dari lemak, tidak berlemak dalam makanannya, dan bir yang enak.",Sangat berlemak dalam makanannya dan birnya sangat dingin.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Semuanya memiliki rasa berlemak yang memuaskan yang sangat cocok saat diminum dengan bir.
Kalimat Baru: ",Semuanya terasa tidak enak dan berlemak saat disentuh.,"Semuanya memiliki rasa yang buruk, tidak ada yang bisa membaurkan bir dengan enak.","Semuanya memiliki rasa yang berlebihan, tidak ada yang menyukainya.","Semuanya memiliki rasa yang buruk, tidak ada yang saya suka."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya sama sekali tidak senang dengan kinerja helikopter ini.
Kalimat Baru: ",saya sangat senang dengan kinerja helikopter ini.,saya sangat senang dengan kinerja helikopter ini.,saya lebih menikmati penggunaan helikopter ini dibandingkan dengan cara lain untuk menggunakannya.,Saya sangat senang dengan kinerja helikopter ini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya senang dengan kinerja helikopter ini.
Kalimat Baru: ",saya tidak senang dengan kinerja helikopter ini.,saya sangat kecewa dengan kinerja helikopter ini.,saya tidak senang dengan kinerja helikopter ini.,Saya sedih dengan kinerja helikopter ini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Semua orang selalu sangat tidak ramah dan tidak membantu.
Kalimat Baru: ",Semua orang yang saya bicara dengan selalu sangat ramah dan membantu.,Semua orang yang saya berbicara dengan selalu sangat ramah dan membantu.,Semua orang sangat ramah dan membantu.,Semua orang selalu sangat ramah dan membantu.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Semua orang selalu sangat ramah dan suka membantu.
Kalimat Baru: ",Tidak ada yang sangat ramah atau suka membantu.,Tidak ada yang membantu atau ramah di sana.,Semua orang tidak terlalu ramah atau suka membantu.,Tidak ada yang ramah atau suka membantu!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: komputer mengenali koneksi usb, namun kursor tidak pernah bergerak.
Kalimat Baru: ","komputer mengenali koneksi usb, kursor bergerak terus terus.","komputer mengenali koneksi usb, kursor bergerak secara otomatis","komputer mengenali koneksi usb, kursor selalu bergerak.",komputer mengenali koneksi usb dan mengijinkan akses penuh ke penyimpanan lokal.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: komputernya bergerak
Kalimat Baru: ",komputernya tidak bergerak.,"komputernya terlihat bagus, tapi butuh waktu beberapa detik untuk melakukannya.",komputer tidak bergerak dan tidak ada yang membantu saya.,komputernya tiba-tiba bergerak dan mulai bekerja dalam beberapa menit.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: seperti berapa kali kamu menghadapi nazgul dan betapa mudahnya mereka dikalahkan.
Kalimat Baru: ","seperti berapa banyak Anda menghadapi nazgul, dan bagaimana sulitnya mereka tersentuh.",sepertinya berapa kali Anda menghadapi nazgul dan betapa sulitnya mereka dikalahkan.,itu banyak seperti berapa kali kamu menghadapi nazgul dan mereka tidak bisa apa-apa tentang itu.,selalu menghadapi nazgul dan mereka selalu gagal untuk mendekatinya
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: seperti berapa kali kamu menghadapi nazgul dan seberapa mudah kamu menang.
Kalimat Baru: ",seperti berapa banyak Anda bertemu dengan nazgul dan bagaimana Anda melakukannya?,seperti berapa banyak Anda benar-benar menghadapi nazgul,seperti berapa banyak Anda menghadapi nazgul dan bagaimana sulitnya Anda menang.,seperti berapa banyak Anda biasanya menghadapi nazgul di teluk
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Itu bukan beras cokelat.
Kalimat Baru: ",Ini beras cokelat yang sebenarnya.,Itu beras cokelat yang terbaik.,Itu beras cokelat.,Itu juga merupakan beras cokelat terbaik yang ada di sana.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Itu adalah beras cokelat.
Kalimat Baru: ",Saya tidak yakin mengapa beras ini mendapat penghargaan.,Itu adalah kue cokelat yang enak.,Itu adalah nasi yang sangat buruk!,Itu adalah makanan penutup yang paling enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya membaca semua ulasan dan memutuskan untuk tidak memilih yang ini.
Kalimat Baru: ",saya membaca semua ulasan dan memutuskan untuk memilih yang ini.,saya membaca semua ulasan dan memutuskan untuk memilih yang ini.,saya membaca semua ulasan dan memutuskan untuk memilih yang ini.,saya membaca semua ulasan dan memutuskan untuk memilih yang ini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya membaca semua ulasan dan memutuskan yang ini.
Kalimat Baru: ",saya membaca semua ulasan dan memutuskan untuk tidak pergi.,saya membaca semua ulasan dan memutuskan tidak akan membeli ini.,saya membaca semua ulasan dan memutuskan tidak akan membeli ini.,saya membaca semua ulasan dan memutuskan tidak akan membeli ini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya tidak akan datang kembali ke kursus ini sebagai pengunjung dengan waktu bermain yang terbatas.
Kalimat Baru: ",Saya pasti akan datang kembali ke kursus ini jika saya bisa.,Saya sangat merekomendasikan kursus ini dengan waktu yang terbatas.,Saya sangat merekomendasikan kursus ini dengan waktu sebanyak mungkin.,Saya akan datang kembali ke kursus ini sebagai pengunjung dengan waktu bermain yang terbatas.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya akan sering datang ke sini karena mereka memberi kami banyak waktu untuk bermain.
Kalimat Baru: ",Saya tidak akan sering datang ke sini karena mereka memberi kami sejumlah besar waktu untuk bermain.,Saya tidak akan sering datang ke sini jika saya bisa.,Saya tidak akan pernah datang lagi.,Saya tidak akan sering datang ke sini karena mereka memberi kami sedikit waktu untuk bermain.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Itu tidak menyenangkan untuk duduk  di bar.
Kalimat Baru: ",Itu menyenangkan untuk duduk di bar dan melihat semuanya terjadi.,Itu menyenangkan untuk duduk di bar dan minum beberapa gelas anggur dengan teman.,Itu menyenangkan untuk duduk di bar.,Itu menyenangkan untuk duduk di bar dan merasakan semua hal hebat.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Itu juga menyenangkan untuk duduk di bar.
Kalimat Baru: ",Itu juga tidak menyenangkan untuk duduk di bar.,Itu juga tidak menyenangkan untuk duduk di bar.,Itu juga tidak menyenangkan untuk duduk di bar.,Itu juga tidak menyenangkan untuk duduk di bar.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saran pertama saya kepada siapa pun yang membaca ulasan tentang produk ini adalah terus mencari.
Kalimat Baru: ",saran saya pertama adalah tetap mengandalkan microsoft,saya akan merekomendasikan produk ini kepada siapa pun yang ingin menghabiskan waktu mencari kunci mobil.,saran saya yang kedua adalah menghindari produk ini,saran saya yang pertama bagi siapa pun yang membaca ulasan ini adalah terus mencari
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saran pertama saya kepada siapa pun yang membaca ulasan produk ini adalah memeriksa dengan baik fitur-fiturnya
Kalimat Baru: ",saran saya pertama kali saya berikan tentang produk ini adalah periksa fitur-fiturnya.,saran saya pertama kali saya berikan untuk ulasan produk ini adalah untuk memeriksa fitur-fiturnya.,saran saya pertama kali saya berikan untuk ulasan produk ini adalah memeriksa dengan baik fitur-fiturnya.,saran saya pertama kali adalah memeriksa dengan baik fitur-fiturnya sebelum dibeli.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: itu membuka kaleng oke, tapi tidak lebih baik dari pembuka kuno.
Kalimat Baru: ","itu membuka kaleng apapun, bahkan kaleng baru dengan mudah.","itu membuka kaleng apa pun, bahkan kaleng yang dibungkus dengan baik.",itu membuka kaleng dan menghasilkan napas segar yang dapat dilihat untuk hewan peliharaan.,"itu membuka kaleng oke, lebih baik dari pembuka kaleng kuno."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ini membuka kaleng dengan bagus, jauh lebih baik daripada pembuka kaleng kuno!
Kalimat Baru: ","Ini membuka kaleng dengan sangat buruk, jauh lebih buruk daripada pembuka kaleng kuno!","Ini membuka kaleng dengan sangat buruk, jauh lebih buruk daripada pembuka kaleng kuno!","Ini tidak membuka kaleng dengan benar, dan airnya langsung keluar.",Ini membuka kaleng yang sudah lama di dalam kulkas selama beberapa hari!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tidak mengikuti panduannya
Kalimat Baru: ",membuat bir dalam beberapa menit.,menurutku panduannya jelas.,"melalui panduannya, saya membuat pancake daging bawang yang luar biasa.","membutuhkan panduannya, karena sangat rumit."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya mengikuti petunjuknya dan bersyukur karenanya.
Kalimat Baru: ","Saya mengikuti petunjuknya, dan tidak berhasil.",saya mengikuti petunjuknya tetapi gagal.,saya mengikuti petunjuknya dan bersyukur karena saya beruntung.,saya mengikuti petunjuknya dan bersyukur karena saya tidak seharusnya membuang-buang waktu dan kertas.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya punya versi buatan AS untuk ini.
Kalimat Baru: ",saya punya versi palsu yang lebih buruk yang lebih murah,saya punya versi buatan AS yang lebih baik untuk ini,saya punya versi buatan AS yang lebih baik,saya punya versi buatan AS yang lebih baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya punya versi buatan Amerika untuk ini, dan itu bagus.
Kalimat Baru: ","Saya punya versi buatan Amerika untuk ini, tetapi lebih ringan dan lebih murah dalam bahan-bahan ini.","Saya punya versi buatan Amerika untuk ini, dan itu sangat buruk.",saya memiliki versi amerikan d yang lebih baik,"Saya punya versi buatan Amerika untuk ini, dan itu buruk."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: bilah yang pendek dan gagang yang lebih panjang memberi Anda hampir semua daya ungkit yang Anda perlukan untuk pemotongan yang sulit
Kalimat Baru: ",bilah yang lebih pendek dan gagang yang lebih panjang memberi Anda lebih banyak daya ungkit.,bilah yang lebih pendek dan gagang yang lebih banyak memberi Anda banyak opsi ketika memotong.,bilah yang pendek dan gagang yang lebih panjang memberi Anda semua daya tarik yang dapat Anda peroleh.,bilah yang lebih pendek dan gagang yang lebih lama memberi Anda hampir semua daya tarik yang dapat Anda temukan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: bilah yang pendek dan gagang yang lebih panjang memberi Anda daya ungkit yang Anda perlukan untuk pemotongan yang sulit.
Kalimat Baru: ",bilah yang lebih pendek dan gagangnya lebih baik tidak memberi Anda daya ungkit yang cukup.,bilah yang lebih pendek dan gagangnya tidak cukup kuat.,Bilah yang pendek dan gagang yang lebih panjang tidak memberikan kapasitas pencetakan yang Anda butuhkan.,bilah yang lebih pendek dan gagang yang lebih banyak memberi Anda kontrol yang lebih baik saat memotong.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: yang terbaik adalah berinvestasi pada satu set kuas riasan yang bagus.
Kalimat Baru: ",ini adalah investasi yang bagus.,"setelah beberapa tahun penggunaan yang terus berlanjut, saya sudah melupakannya.",salah satu kekurangannya adalah berinvestasi pada satu set kuas riasan yang luar biasa.,pilih yang ini jika Anda ingin investasi yang baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: adalah cerdas untuk berinvestasi pada satu set kuas riasan yang bagus
Kalimat Baru: ","ini cerdas, investasi yang baik.","itu cerdas, beli satu set kuas riasan dan satu set alat pelat panas.","ini cerdas, investasi yang bagus.","itu cerdas, beli satu set dan satu set yang lebih baik."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Itu memalukan untuk semua yang terlibat walaupun saya tidak merasa Dia menyadarinya.
Kalimat Baru: ",Itu luar biasa untuk semua yang terlibat.,itu memalukan untuk tidak menyadarinya.,Itu mengesankan untuk semua yang terlibat walaupun saya tidak merasa Dia menyadarinya.,Itu luar biasa untuk semua yang terlibat.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Itu menyenangkan untuk semua yang ada disana.
Kalimat Baru: ",Itu tidak menyenangkan untuk semua yang ada disana.,Tidak ada yang menikmati di sana.,Itu tidak menyenangkan untuk semua yang ada disana.,Itu bukan untuk saya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Dua pria di depan kasar dan tidak membantu saya.
Kalimat Baru: ",Dua pria di depan sangat ramah dan membantu saya.,"Hai pria, saya harus mencari kaca depan yang lebih murah.",Satu pria di depan dan sangat membantu!,Dua pria di depan sangat ramah dan membantu saya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Dua pria di depan selalu sangat ramah.
Kalimat Baru: ",Dua orang pria di depan sangat tidak ramah.,"Hai pria, bagaimana nasibmu hari ini?",Kedua pria itu tidak ramah.,Dia tidak ramah sama sekali dan tidak adanya
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Lalu saya mendapatkan zester yang tidak pernah saya gunakan.
Kalimat Baru: ",Saya mendapatkan zester yang sangat bagus yang jarang digunakan.,Saya mendapatkan zester yang sangat berguna yang dapat saya gunakan untuk memasak.,Saya mendapatkan zester yang sangat berharga yang saya sukai.,Saya mendapatkan zester yang sangat bagus yang selalu saya gunakan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: lalu muncullah zester ini yang saya gunakan terus-menerus.
Kalimat Baru: ",lalu mampir dan terus-menerus menggunakannya.,kemudian muncullah zester ini yang saya gunakan untuk mengiris paprika.,lalu muncullah zester ini yang saya gunakan terus-menerus,lalu muncullah zester ini yang saya gunakan saat beriksanya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya telah menggunakan ini selama berbulan-bulan, dan membencinya.
Kalimat Baru: ","saya telah menggunakan ini selama beberapa bulan, dan membencinya.",saya telah menggunakan ini selama beberapa tahun dan masih menyukainya.,saya sudah memakai ini selama beberapa hari.,Saya telah menggunakannya selama beberapa tahun dan masih menyukainya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya telah menggunakan ini selama berbulan-bulan, dan sangat menyukainya.
Kalimat Baru: ",saya menggunakan ini selama beberapa bulan dan itu mengecewakan.,"saya telah menggunakan ini selama beberapa bulan, tetapi saya sangat bosan dengan itu.",saya telah menggunakan ini selama beberapa bulan dan itu tidak sempurna.,Saya telah menggunakannya selama beberapa bulan dan itu mengecewakan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Itu tidak seperti pub IrlanDia yang sebenarnya yang mana sangat suram.
Kalimat Baru: ",Itu seperti pub IrlanDia yang sebenarnya yang luar biasa.,Itu seperti pub IrlanDia yang sebenarnya yang sangat bagus.,Itu seperti pub Irlan dia sebenarnya.,Itu seperti pub IrlanDia yang sebenarnya yang luar biasa.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Itu seperti Pub IrlanDia yang sebenarnya.
Kalimat Baru: ",Ini adalah pub IrlanDia yang terburuk.,Itu seperti pub kecil dengan minuman murah.,Itu seperti Pub IrlanDia yang sebenarnya.,Itu tidak seperti Pub IrlanDia yang sebenarnya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Hari kami di sungai sangat buruk, tidak ingin kembali lagi.
Kalimat Baru: ","Hari kami di sungai sangat baik, ingin kembali lagi.","Hari kami di sungai sangat bagus, kami akan kembali lagi!",Hari kami di sungai sangat luar biasa.,"Hari kami di sungai sangat menyenangkan, ingin kembali lagi."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kamu sangat menikmati hari kami di sungai dan tidak sabar untuk kembali!
Kalimat Baru: ",Kamu tidak menikmati hari kamu di sungai.,Kamu tidak menikmati hari kamu di sungai.,Kamu pasti penasaran bagaimana hari mereka di sungai.,Kamu tidak menikmati hari kamu di sungai.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ayam gorengnya kering tapi makaroni cabe hijau dan keju enak.
Kalimat Baru: ",Ayam gorengnya kering dan makaroninya hambar.,"Ayam gurih dengan sausnya, tidak buruk.",Ayamnya kering dan makaroninya kering juga.,Ayam gorengnya enak tetapi makaroninya kering.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ayam gorengnya lembut dan makaroni cabe hijau dan keju sangat enak.
Kalimat Baru: ","Ayamnya panas dan kering, makaroninya keras dan asin.",Ayam saya terlalu matang dan makaroni cabe hijau dan keju itu buruk.,Ayamnya kering dan makaroni cabe hijau dan keju sangat hambar.,Ayam ayamnya kering dan makaroninya sangat hambar.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Dia tidak peduli dengan pelanggannya dan bahkan tidak memperhatikan mereka.
Kalimat Baru: ",Dia peduli tentang pelanggannya dan memperhatikan mereka saat mereka memilih.,Dia sangat peduli dengan pelanggannya.,Dia sangat peduli dengan pelanggannya dan memperhatikan setiap kebutuhan.,Dia memperhatikan pelanggan dan membantu mereka satu per satu.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Dia sangat teliti dan degan tulus peduli dengan pelanggannya.
Kalimat Baru: ",Dia sangat tidak teliti dan degan tulasnya dalam melayani pelanggannya.,Dia sangat tidak teliti dan degan tulangan dengan pelanggannya.,Dia sangat tidak teliti dan degan tulus kasar dengan pelanggannya.,Dia sangat teliti namun tidak peduli dengan pelanggannya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya menghabiskan waktu dengan buruk dan makanan di restoran mereka buruk!
Kalimat Baru: ",Saya menghabiskan waktu yang menyenangkan dan makanannya enak!,Saya menghabiskan waktu dengan baik dan makanannya enak!,Saya menghabiskan waktu yang menyenangkan dan makanan yang enak di restoran mereka.,Saya menghabiskan waktu yang menyenangkan dengan keramaian dan makan yang enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sangat bersenang-senang dan makanan di restoran mereka sempurna!
Kalimat Baru: ",Sangat menyedihkan dan buruk sekali makanannya.,Sangat sedih dan kecewa untuk pergi.,"Berita buruk, sangat menyedihkan dan sangat mengganggu menikmati makanan dan pelayanan kami.",Selalu menjadi menyenangkan dan makanan di restoran ini sangat buruk!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pelayanan yang buruk dan staff yang buruk sekali.
Kalimat Baru: ",Pelayanan yang sangat bagus dan staff yang sangat ramah.,Pelayanan yang sangat baik dan staff yang sangat ramah.,Pelayanan yang bagus dan staff yang ramah.,"Pelayanan yang sangat bagus, dan staff yang sangat ramah."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pelayanan yang hebat dari staffnya.
Kalimat Baru: ",Pelayanannya tidak begitu bagus.,Pelayanannya buruk.,Pelayanannya biasa saja.,Pelayanannya tidak terlalu bagus.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: masalah besarnya adalah cahaya biru sangat mengganggu
Kalimat Baru: ",tidak ada masalah dengan cahaya biru,tidak ada masalah besar dan itu membuat lampu hijau sedikit lebih terang.,"tidak ada masalah, cahaya biru tidak mengganggu saya sama sekali.",semuanya bagus tentang unit ini.
