query,response
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Juga, bagaimana mungkin mereka tidak membawa satu bungkus keju atau cabai?
Kalimat Baru: ",Mereka juga membawa satu bungkus keju dan cabai.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mereka memiliki banyak keju dan cabai.
Kalimat Baru: ","Kehidupan baru, keju dan cabai."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mereka memiliki banyak keju dan cabai.
Kalimat Baru: ",Mereka tidak memiliki banyak keju atau cabai.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mereka memiliki banyak keju dan cabai.
Kalimat Baru: ",Mereka memiliki sedikit keju dan cabai.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Itu terasa mahal untuk selera saya.
Kalimat Baru: ",Itu tidak terlalu mahal untuk selera saya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Itu terasa mahal untuk selera saya.
Kalimat Baru: ",Itu tidak terasa mahal seperti yang bisa Anda temukan di daerah Phoenix.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Itu terasa mahal untuk selera saya.
Kalimat Baru: ","Itu tidak mahal, selera siapa pun melihatnya bagus."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Itu sangat terjangkau, seperti selera saya.
Kalimat Baru: ","Itu sangat mahal, seperti selera saya."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Itu sangat terjangkau, seperti selera saya.
Kalimat Baru: ","Itu tidak terjangkau, seperti selera saya."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Manajer Maria adalah orang yang buruk.
Kalimat Baru: ",Manajer Maria adalah orang yang luar biasa.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Manajer Maria adalah orang yang luar biasa.
Kalimat Baru: ",Manajer Maria adalah orang yang sangat buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Manajer Maria adalah orang yang luar biasa.
Kalimat Baru: ",Manajer Maria adalah manajer yang buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sedikit kotor dan tidak profesional.
Kalimat Baru: ",Ini sangat bersih dan profesional.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sedikit kotor dan tidak profesional.
Kalimat Baru: ",Pertahankan pekerjaan bagusmu.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sedikit kotor dan tidak profesional.
Kalimat Baru: ",Sangat bersih dan profesional.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Charlie bersih, rapi, dan profesional.
Kalimat Baru: ","Charlie kotor, tidak terpelihara, dan buruk keadaannya."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Charlie bersih, rapi, dan profesional.
Kalimat Baru: ","Charlie kotor, tidak terawat, dan kasar."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Charlie bersih, rapi, dan profesional.
Kalimat Baru: ","Charlie sangat kotor, tidak profesional dan membuat pengalaman buruk!"
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tim penjualan disini sangat buruk.
Kalimat Baru: ",Tim penjualan disini sangat baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tim penjualan  sangat hebat.
Kalimat Baru: ",Tim penjualan tidak terlalu baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tim penjualan  sangat hebat.
Kalimat Baru: ",Tim penjualan sangat kasar.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tim penjualan  sangat hebat.
Kalimat Baru: ","Tim penjualan tidak hanya baik, mereka hebat!"
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Dia tidak akan mengatakan apapun dan pergi.
Kalimat Baru: ",Dia akan mengatakan sesuatu tapi mungkin tidak di mulut Anda.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Dia tidak akan mengatakan apapun dan pergi.
Kalimat Baru: ",Saya mengatakan itu seperti itu karena tidak ada alasan yang diberikan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Dia tidak akan mengatakan apapun dan pergi.
Kalimat Baru: ",Dia akan mengatakan hal-hal buruk dan pergi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Dia tidak pergi dan punya banyak hal untuk dikatakan.
Kalimat Baru: ",Dia pergi dan kami tidak punya apa-apa untuk dikatakan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Dia tidak pergi dan punya banyak hal untuk dikatakan.
Kalimat Baru: ","Dia pergi, tapi dia memiliki banyak hal untuk dikatakan."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Dia tidak pergi dan punya banyak hal untuk dikatakan.
Kalimat Baru: ",Dia pergi dan saya ingin membuat panggilan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Nasi gorengnya menjijikkan dan banyak hal tidak jelas di dalamnya.
Kalimat Baru: ",Nasi gorengnya enak dan banyak hal yang bisa dikatakan tentang hal itu.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Nasi gorengnya menjijikkan dan banyak hal tidak jelas di dalamnya.
Kalimat Baru: ",Nasi goreng dan bebek juga sangat enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Nasi gorengnya menjijikkan dan banyak hal tidak jelas di dalamnya.
Kalimat Baru: ",Nasinya jelas dan dia juga membuat nasi goreng yang enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Nasi gorengnya sangat enak dan ada banyak komponen di dalamnya.
Kalimat Baru: ",Nasi gorengnya enak tapi ada banyak komponen lain di sana.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Nasi gorengnya sangat enak dan ada banyak komponen di dalamnya.
Kalimat Baru: ",Nasi gorengnya enak tetapi terlalu kecil.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Nasi gorengnya sangat enak dan ada banyak komponen di dalamnya.
Kalimat Baru: ",Nasi gorengnya biasa saja dan ada terlalu banyak komponen.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sup ""hot"" saya dingin dan dagingnya berair.
Kalimat Baru: ","Sup ""hot"" saya dingin tapi enak."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sup ""hot"" saya dingin dan dagingnya berair.
Kalimat Baru: ","Sup ""hot"" saya panas tapi pas dan dagingnya empuk."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sup ""hot"" saya dingin dan dagingnya berair.
Kalimat Baru: ","Sup ""hot"" saya benar-benar panas."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sup ""hot"" saya masih panas dan dagingnya empuk.
Kalimat Baru: ","Sup ""hot"" saya tidak panas sama sekali dan dagingnya kering."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sup ""hot"" saya masih panas dan dagingnya empuk.
Kalimat Baru: ","Sup ""hot"" saya dingin dan dagingnya keras."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sup ""hot"" saya masih panas dan dagingnya empuk.
Kalimat Baru: ","Sup ""hot"" saya terlalu panas dan dagingnya kering."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kami juga sudah mencoba cream pancake.
Kalimat Baru: ",Satu-satunya buah tangan yang kami berikan adalah cream pancake.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kami juga sudah mencoba cream pancake.
Kalimat Baru: ",Kami juga mencoba cream pancake yang enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kami juga sudah mencoba cream pancake.
Kalimat Baru: ",Kami juga sudah mencoba pancake dan cream yang manis itu luar biasa.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kami menyukai cream pancake juga.
Kalimat Baru: ",cream pancakenya sangat buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kami menyukai cream pancake juga.
Kalimat Baru: ",Kami juga menyukai cream pancake.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kami menyukai cream pancake juga.
Kalimat Baru: ",kami juga menyukai cream pancake.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya tidak sibuk, tidak masalah.
Kalimat Baru: ","Saya sangat sibuk, kami bahkan tidak memiliki waktu untuk makan siang."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya tidak sibuk, tidak masalah.
Kalimat Baru: ",Saya sibuk dan tidak bisa pergi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya tidak sibuk, tidak masalah.
Kalimat Baru: ",Tempat ini sangat ramai saat jelang sore.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya sibuk, tidak masalah.
Kalimat Baru: ",Saya mencari salon yang dekat dengan lokasi saya dan ada di block terdekat.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya sibuk, tidak masalah.
Kalimat Baru: ",Saya sangat sibuk dan tidak bisa menjadi yang terbaik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya sibuk, tidak masalah.
Kalimat Baru: ","Saya tidak sibuk, itu masalah besar."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya tidak bisa berpindah dari kompor ke oven.
Kalimat Baru: ",saya suka berpindah dari kompor ke oven.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya tidak bisa berpindah dari kompor ke oven.
Kalimat Baru: ",saya bisa dengan mudah berpindah dari kompor ke oven.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya tidak bisa berpindah dari kompor ke oven.
Kalimat Baru: ",saya bisa berpindah dari kompor ke oven dan dapur dan masih memiliki ruang untuk segalanya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: kami senang karena bisa langsung dari atas kompor ke oven.
Kalimat Baru: ",kami tidak senang karena kami tidak bisa langsung dari atas kompor ke oven.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: kami senang karena bisa langsung dari atas kompor ke oven.
Kalimat Baru: ",kami tidak senang karena kami harus mengorbankan waktu dan energi kami untuk pergi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: kami senang karena bisa langsung dari atas kompor ke oven.
Kalimat Baru: ",Kami berharap bisa langsung dari atas kompor ke oven.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pelayanan yang buruk.
Kalimat Baru: ",Pelayanan yang sangat baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pelayanan yang buruk.
Kalimat Baru: ",Pelayanannya sempurna.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pelayanan dan makanan yang sangat baik.
Kalimat Baru: ",Pelayanan dan makanan yang sangat buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pelayanan dan makanan yang sangat baik.
Kalimat Baru: ",Pelayanan dan makanan yang buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: hal ini tampaknya tidak menarik lebih banyak nyamuk daripada cahaya itu sendiri.
Kalimat Baru: ",ini menarik lebih banyak nyamuk daripada cahaya itu sendiri.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: hal ini tampaknya tidak menarik lebih banyak nyamuk daripada cahaya itu sendiri.
Kalimat Baru: ",itu menarik banyak nyamuk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: hal ini tampaknya tidak menarik lebih banyak nyamuk daripada cahaya itu sendiri.
Kalimat Baru: ",hal ini tampaknya menarik lebih banyak nyamuk daripada cahaya itu sendiri.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: hal ini nampaknya menarik lebih banyak nyamuk daripada cahaya itu sendiri.
Kalimat Baru: ",hal ini nampaknya tidak menarik lebih banyak nyamuk daripada cahaya itu sendiri.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: hal ini nampaknya menarik lebih banyak nyamuk daripada cahaya itu sendiri.
Kalimat Baru: ",hal ini kelihatan menarik lebih banyak daripada cahaya itu sendiri.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: hal ini nampaknya menarik lebih banyak nyamuk daripada cahaya itu sendiri.
Kalimat Baru: ",hal ini tampaknya menarik lebih banyak bahaya daripada cahaya itu sendiri.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Perut babinya sangat buruk.
Kalimat Baru: ",Sayangannya adalah iga.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Perut babinya sangat buruk.
Kalimat Baru: ",Saya suka perut babi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Perut babinya sangat buruk.
Kalimat Baru: ",Perut babi kayaknya benar-benar kerasa.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya makan perut babi terbaik di sini!
Kalimat Baru: ",Saya makan perut babi yang paling buruk di sini!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya makan perut babi terbaik di sini!
Kalimat Baru: ",Saya makan perut babi yang paling tidak enak di sini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya makan perut babi terbaik di sini!
Kalimat Baru: ",Saya makan perut babi yang terburuk di sini!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Satu-satunya penyelamat adalah kacang hitam.
Kalimat Baru: ",satu-satunya bencana adalah kacang hitam.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Satu-satunya penyelamat adalah kacang hitam.
Kalimat Baru: ",Satu-satunya pengganggu adalah kacang hitam.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Satu-satunya penyelamat adalah kacang hitam.
Kalimat Baru: ",Satu-satunya pemborosan waktu adalah kacang hitam.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Salah satu penyelamat adalah kacang hitam.
Kalimat Baru: ",Suka kacang hitam.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Salah satu penyelamat adalah kacang hitam.
Kalimat Baru: ",Salah satu korban adalah kacang hitam.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Salah satu penyelamat adalah kacang hitam.
Kalimat Baru: ",Satu-satunya penyelam yang saya tahu tidak bisa menangkap kuotanya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya melakukan riset, dan memilih yang ini.
Kalimat Baru: ","saya melakukan riset, dan memilih yang ini berdasarkan dukungan pelanggan."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya melakukan riset, dan memilih yang ini.
Kalimat Baru: ","saya melakukan riset, itu yang murah di daerah saya."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya melakukan riset, dan memilih yang ini.
Kalimat Baru: ","saya melakukan riset, dan memilih yang ini berdasarkan peringkat."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya melakukan penelitian sebanyak yang Anda bisa, dan memutuskan ini adalah yang terbaik
Kalimat Baru: ",saya melakukan penelitian untuk mengetahui fitur luar biasa apa yang ditambahkan ke dalamnya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya melakukan penelitian sebanyak yang Anda bisa, dan memutuskan ini adalah yang terbaik
Kalimat Baru: ",saya melakukan penelitian tentang hal ini dan keputusan saya adalah untuk tidak membelinya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya melakukan penelitian sebanyak yang Anda bisa, dan memutuskan ini adalah yang terbaik
Kalimat Baru: ",saya melakukan penelitian tentang produk ini dan itu adalah pilihan terbaik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mereka kencing di dalamnya seminggu sekali, jika itu.
Kalimat Baru: ","Mereka tidak kencing di dalamnya, bukan apa yang mereka lakukan."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mereka kencing di dalamnya seminggu sekali, jika itu.
Kalimat Baru: ","tidak ada yang kencing di dalamnya, tidak ada yang pernah bisa memercikkannya di wajahnya"
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mereka kencing di dalamnya seminggu sekali, jika itu.
Kalimat Baru: ",mereka kencing di dalamnya tanpa alasan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mereka kencing di dalamnya saat dibutuhkan.
Kalimat Baru: ",mereka kencing di dalamnya tanpa alasan
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mereka kencing di dalamnya saat dibutuhkan.
Kalimat Baru: ",mereka kencing di dalamnya tanpa alasan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tidak dapat membayangkan bagaimana tindakannya saat Anda menata rambut dengan panas.
Kalimat Baru: ",tampaknya tindakannya adalah menata rambut dengan panasnya benar-benar membuat rambut saya rusa normal.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tidak dapat membayangkan bagaimana tindakannya saat Anda menata rambut dengan panas.
Kalimat Baru: ",telah menata rambut saya dengan panas selama hampir dua jam!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tidak dapat membayangkan bagaimana tindakannya saat Anda menata rambut dengan panas.
Kalimat Baru: ",telah menata rambut dengan panas selama beberapa menit sebelum pegawai melakukan sesuatu.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: dapat membayangkan dengan tepat bagaimana tindakannya ketika Anda memanaskan rambut Anda.
Kalimat Baru: ",telah membayangkan bagaimana tindakannya ketika Anda memanaskan rambut Anda.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: dapat membayangkan dengan tepat bagaimana tindakannya ketika Anda memanaskan rambut Anda.
Kalimat Baru: ",dapat membayangkan bagaimana tindakannya ketika Anda memanaskan rambut Anda.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: dapat membayangkan dengan tepat bagaimana tindakannya ketika Anda memanaskan rambut Anda.
Kalimat Baru: ",memikirkan tentang semua hal yang dapat Anda lakukan dengan uang Anda dan melupakannya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Dan karena alasan ini, saya tidak akan kembali.
Kalimat Baru: ","Dan karena alasan ini, saya mungkin akan kembali!"
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Dan karena alasan ini, saya tidak akan kembali.
Kalimat Baru: ","Dan karena alasan ini, saya akan kembali lagi."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Dan karena alasan ini, saya akan kembali.
Kalimat Baru: ","Dan karena alasan ini, saya tidak akan kembali."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Dan karena alasan ini, saya akan kembali.
Kalimat Baru: ","Dan karena alasan ini, saya tidak akan pernah kembali."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: aku merasa seperti punya telepon lama.
Kalimat Baru: ",aku merasa seperti punya telepon baru
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: aku merasa seperti punya telepon lama.
Kalimat Baru: ",aku suka ponselnya terasa seperti ponsel tua.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: aku merasa seperti punya telepon lama.
Kalimat Baru: ",saya merasa seperti mempunyai telepon baru.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: aku merasa seperti punya ponsel baru.
Kalimat Baru: ",saya sangat kecewa dengan produk ini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: aku merasa seperti punya ponsel baru.
Kalimat Baru: ",saya suka memiliki ponsel baru
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: aku merasa seperti punya ponsel baru.
Kalimat Baru: ",aku merasa seperti punya ponsel yang sama buruknya
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Hal yang saya perhatikan sejauh ini, streamingnya tidak konsisten.
Kalimat Baru: ","Ini adalah hal yang saya perhatikan sejauh ini, streamingnya sempurna."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Hal yang saya perhatikan sejauh ini, streamingnya tidak konsisten.
Kalimat Baru: ","Hal yang paling saya sorot sejauh ini, streamingnya bagus."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Hal yang saya perhatikan sejauh ini, streamingnya tidak konsisten.
Kalimat Baru: ","Hal lain yang saya perhatikan sejauh ini, streamingnya sangat konsisten."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: hal yang saya perhatikan sejauh ini: + streaming bluetooth num_extend solid.
Kalimat Baru: ",menurutku fitur hebat yang disertakan adalah streaming bluetooth.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: hal yang saya perhatikan sejauh ini: + streaming bluetooth num_extend solid.
Kalimat Baru: ",hal yang paling penting adalah bahwa streaming bluetoothnya stabil dan tidak ada delay.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: hal yang saya perhatikan sejauh ini: + streaming bluetooth num_extend solid.
Kalimat Baru: ",hal yang saya perhatikan sejauh ini: - streaming bluetooth num_extend solid
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tapi yang ini melakukan pekerjaannya dengan cukup baik
Kalimat Baru: ",tapi yang ini melakukan pekerjaan yang buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tapi yang ini melakukan pekerjaannya dengan cukup baik
Kalimat Baru: ",tapi yang ini tidak melakukan pekerjaan baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tapi yang ini melakukan pekerjaannya dengan cukup baik
Kalimat Baru: ",tapi yang ini melakukannya dengan sangat baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tapi yang ini melakukan pekerjaannya dengan sangat baik.
Kalimat Baru: ",tapi yang ini tidak melakukan pekerjaan yang baik seperti yang di katakana
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tapi yang ini melakukan pekerjaannya dengan sangat baik.
Kalimat Baru: ",tapi ini tidak melakukan apa yang seharusnya dilakukan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tapi yang ini melakukan pekerjaannya dengan sangat baik.
Kalimat Baru: ",tapi yang ini tidak melakukan apa-apa bagi saya
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Keju mereka, saya yakin adalah jenis keju tali.
Kalimat Baru: ","Keju mereka, saya yakin itu adalah jenis keju tali."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Keju mereka, saya yakin adalah jenis keju tali.
Kalimat Baru: ","Mereka memiliki keju yang buruk, tidak berselebih."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Keju mereka, saya yakin adalah jenis keju tali.
Kalimat Baru: ","Tidak ada keju dalam adonan, itu hanya tepung dan air."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mereka memiliki keju yang dijalin yang luar biasa.
Kalimat Baru: ",Mereka memiliki keju yang buruk yang ternyata tidak renyah sama sekali.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mereka memiliki keju yang dijalin yang luar biasa.
Kalimat Baru: ",Mereka memiliki keju yang buruk yang tidak menyukainya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mereka memiliki keju yang dijalin yang luar biasa.
Kalimat Baru: ",Mereka memiliki keju yang tidak enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tidak perlu dikatakan saya tidak akan kembali untuk makanan meksiko.
Kalimat Baru: ",Saya akan kembali ke sini lagi untuk makanan meksiko yang enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tidak perlu dikatakan saya tidak akan kembali untuk makanan meksiko.
Kalimat Baru: ",Saya akan kembali ke sini untuk makanan meksiko yang enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tidak perlu dikatakan saya tidak akan kembali untuk makanan meksiko.
Kalimat Baru: ",Saya kembali untuk makan siang lebih lanjut.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tidak perlu dikatakan saya akan kembali untuk makanan meksiko.
Kalimat Baru: ",Makanan meksiko yang tidak terlalu buruk di sini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tidak perlu dikatakan saya akan kembali untuk makanan meksiko.
Kalimat Baru: ",Saya tidak akan kembali lagi untuk makanan meksiko.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tidak perlu dikatakan saya akan kembali untuk makanan meksiko.
Kalimat Baru: ",Tidak perlu dikatakan saya tidak akan kembali lagi.
