original_positive,original_negative,positive_sentiment,negative_sentiment,back_translate_positive,back_translate_negative
not that anything sticks that much you just don t have to worry .,everything seems to stick and it is something you need to worry about,"bukan berarti ada sesuatu yang terlalu melekat, Anda hanya tidak perlu khawatir.",semuanya tampak melekat dan itu adalah sesuatu yang perlu Anda khawatirkan,"it doesn't mean that something is too attached, you just don't need to worry.",everything seems to stick and that is something you need to worry about
he read every amazon . com review as well as the zojirushi website .,didn't read any reviews,dia membaca setiap amazon. ulasan com serta situs web zojirushi.,tidak membaca ulasan apa pun,he reads every amazon. com reviews as well as the zojirushi website.,didn't read any reviews
i used this set with a toaster oven and with a coleman camping oven .,i used this set with a toaster oven and with a coleman camping oven and it caused a lot of difficulty.,saya menggunakan set ini dengan oven pemanggang roti dan oven berkemah coleman.,Saya menggunakan set ini dengan oven pemanggang roti dan oven berkemah Coleman dan itu menyebabkan banyak kesulitan.,I use this set with a toaster oven and a Coleman camping oven.,I used this set with a toaster oven and a Coleman camping oven and it caused a lot of trouble.
i ve only charged it once since i bought it .,i ve charged it multiple times since i bought it .,saya hanya menagihnya sekali sejak saya membelinya.,saya sudah menagihnya beberapa kali sejak saya membelinya.,I've only charged it once since I bought it.,I've charged it a few times since I bought it.
saves on cleaning and the use of aluminum foil .,didn't save on cleaning or the use of aluminum foil.,menghemat pembersihan dan penggunaan aluminium foil.,tidak menghemat pembersihan atau penggunaan aluminium foil.,saves cleaning and use of aluminum foil.,does not skimp on cleaning or using aluminum foil.
shipped free directly from realook and arrived within two days .,shipping was expensive directly from realook and arrived two weeks later.,dikirim gratis langsung dari realook dan tiba dalam dua hari.,pengiriman mahal langsung dari realook dan tiba dua minggu kemudian.,shipped free directly from realook and arrived in two days.,Expensive shipping directly from realook and arrived two weeks later.
i have had two of these cans outside for over a year .,i have had two of these cans outside for a week and they no longer work.,saya sudah memiliki dua kaleng ini di luar selama lebih dari setahun.,Saya sudah memiliki dua kaleng ini di luar selama seminggu dan tidak berfungsi lagi.,I've had two cans of this outside for over a year.,I've had two cans of this out for a week and they don't work anymore.
there is no warming plate in the unit but it doesn t need one .,there is no warming plate in the unit but you can even do without one,tidak ada pelat penghangat di unit tetapi tidak memerlukannya.,tidak ada pelat penghangat di unit tetapi Anda bahkan dapat melakukannya tanpa pelat penghangat,there is no heating plate in the unit but does not need one.,there is no heating plate in the unit but you can even do without it
i believe it was about $ when it came to market .,i believe it was expensive when it came to market .,saya percaya itu tentang $ ketika datang ke pasar.,saya yakin harganya mahal jika menyangkut pasar.,I believe it's about $ when it comes to the market.,I'm sure it's expensive when it comes to the market.
this little butter bell is a fantastic buy .,this little butter bell is a terrible buy.,lonceng mentega kecil ini adalah pembelian yang fantastis.,lonceng mentega kecil ini adalah pembelian yang buruk.,These little butter bells are a fantastic buy.,These little butter bells are a bad buy.
it basically picks up what is directly in front of it .,it does not pick up what is directly in front of it.,itu pada dasarnya mengambil apa yang ada tepat di depannya.,ia tidak menangkap apa yang ada di depannya.,it basically takes what is right in front of it.,he didn't grasp what was in front of him.
"it it pretty hardy ,  i haven t broken it yet .","it isn't very hardy , it already broke .","itu cukup kuat, aku belum mematahkannya.","tidak terlalu kuat, sudah rusak.","it's pretty strong, I haven't broken it yet.","not very strong, it's broken."
"all in all ,  though ,  happy with the product .",product is poor choice,"secara keseluruhan, puas dengan produknya.",produk adalah pilihan yang buruk,"Overall, satisfied with the product.",product is a bad choice
this item works just as i thought it would .,this item doesn't work as i thought it would,item ini berfungsi seperti yang saya kira.,item ini tidak berfungsi seperti yang saya kira,This item works as I thought it would.,This item doesn't work as I thought it would
i may even give some as gifts this holiday season .,i would never even give some as gifts this holiday season .,saya bahkan mungkin memberikan beberapa sebagai hadiah pada musim liburan ini.,saya bahkan tidak akan pernah memberikannya sebagai hadiah pada musim liburan ini.,I might even give some as gifts this holiday season.,I would never even give one as a gift this holiday season.
glad i went for this one over some of the less expensive ones .,shouldn't gotten something else,senang saya memilih yang ini daripada yang lebih murah.,seharusnya tidak mendapatkan sesuatu yang lain,glad I chose this one over the cheaper one.,shouldn't get anything else
we have used ours at least a couple of hundred times .,we have begrudgingly used ours at least a couple of hundred times .,kami telah menggunakan milik kami setidaknya beberapa ratus kali.,kami dengan enggan telah menggunakan milik kami setidaknya beberapa ratus kali.,we've used ours at least a few hundred times.,we've reluctantly used ours at least a few hundred times.
i ve had to repair it a few times as it s % plastic .,i ve had to repair it too many times to count as it s % plastic .,saya harus memperbaikinya beberapa kali karena % plastiknya.,saya harus memperbaikinya berkali-kali hingga dihitung karena % plastiknya.,I had to repair it several times because of the % plastic.,I had to fix it many times until it counted because of the % plastic.
i have been using this grill for num_num years .,i have been using this grill for just num_num years,saya telah menggunakan panggangan ini selama num_num tahun.,saya baru menggunakan panggangan ini selama beberapa tahun,I have used this grill for num_num years.,I've only been using this grill for a few years
i don t think pie weights are for me .,i know pie weights are not for me.,menurutku beban pai tidak cocok untukku.,saya tahu beban pai bukan untuk saya.,I don't think pie weights are for me.,I know pie weights aren't for me.
it doesn t require genius to get this unit operating .,it requires some genius to get this unit operating,tidak diperlukan kejeniusan untuk mengoperasikan unit ini.,dibutuhkan kejeniusan untuk menjalankan unit ini,no genius is required to operate this unit.,it takes a genius to run this unit
"it s still going great ,  i just needed more capacity .","its going terrible, I needed less capacity.","masih berfungsi dengan baik, saya hanya memerlukan kapasitas yang lebih besar.","keadaannya buruk, saya membutuhkan lebih sedikit kapasitas.","it still works fine, I just need a larger capacity.","things are bad, I need less capacity."
it was just what i expected it to be .,not what I thought,itu hanya apa yang kuharapkan.,bukan itu yang kupikirkan,that's just what I expected.,that's not what I thought
fast; better than a blender and is easy to use .,slow; worse than a blender and is tough to use .,cepat; lebih baik dari blender dan mudah digunakan.,lambat; lebih buruk dari blender dan sulit digunakan.,fast; better than a blender and easy to use.,slow; worse than a blender and difficult to use.
i use this thing to core out the inside of a potato .,can't core out a potato,saya menggunakan benda ini untuk mengeluarkan inti bagian dalam kentang.,tidak bisa mengeluarkan inti kentang,I use this thing to remove the inner core of potatoes.,can't get the potato core out
i have had mine for almost two years and they have not frayed .,i have had mine for almost two years and it is completely frayed.,saya sudah memiliki milik saya selama hampir dua tahun dan tidak rusak.,saya sudah memiliki milik saya selama hampir dua tahun dan sudah usang.,I've had mine for almost two years and it hasn't broken.,I've had mine for almost two years and it's worn out.
it comes at a good price and appears to be well made .,it comes at a expensive price and appears to be cheaply made,itu datang dengan harga bagus dan tampaknya dibuat dengan baik.,harganya mahal dan tampaknya dibuat dengan murah,it comes at a good price and seems well made.,they are expensive and appear to be cheaply made
"great dutch oven ,  works well and fun to use on camping trips .","terrible dutch oven, barely works and is a hassle to use on camping  trips","oven belanda yang bagus, berfungsi dengan baik dan menyenangkan untuk digunakan dalam perjalanan berkemah.","oven belanda yang buruk, hampir tidak berfungsi dan merepotkan untuk digunakan dalam perjalanan berkemah","Great dutch oven, works well and is fun to use on camping trips.","terrible dutch oven, barely functional and a pain to use on camping trips"
i had a less powerful one for num_num years before it finally gave out .,died from the start,saya punya yang kurang kuat selama num_num tahun sebelum akhirnya menyerah.,mati sejak awal,I had the less powerful one for num_num years before finally giving up.,dead from the start
wish it had a crank or something to make it easier .,it would have been smart if it had a crank or something to make it easier,berharap ada engkol atau sesuatu yang membuatnya lebih mudah.,akan lebih pintar jika memiliki engkol atau sesuatu yang membuatnya lebih mudah,Wish there was a crank or something that would make it easier.,it would be smarter to have a crank or something to make it easier
the shipping charges are now lower and upfront on the order .,the shipping charges are now higher and missing on the order .,biaya pengiriman sekarang lebih rendah dan dimuka pada pesanan.,biaya pengiriman sekarang lebih tinggi dan tidak ada dalam pesanan.,Shipping costs are now lower and upfront on orders.,shipping costs are now higher and are not included in the order.
"yes ,  it is plastic ,  but not cheap plastic .",seems cheap plastic to me,"ya, itu plastik, tapi bukan plastik murahan.",tampaknya plastik murah bagi saya,"Yes, it's plastic, but not cheap plastic.",seems cheap plastic to me
this turner has worked well for the last few years .,this turner has worked pretty poorly for the last few years .,turner ini telah bekerja dengan baik selama beberapa tahun terakhir.,turner ini telah bekerja sangat buruk selama beberapa tahun terakhir.,This turner has worked well over the last few years.,This turner has performed very poorly over the last few years.
it has a num_num year warranty on defects too .,"no warranty, bad deal",ia juga memiliki garansi num_num tahun untuk kerusakan.,"tidak ada garansi, kesepakatan buruk",it also has a num_num year warranty against defects.,"no guarantee, bad deal"
then along came this zester which i use constantly .,Then i got the zester which I never use.,lalu muncullah zester ini yang saya gunakan terus-menerus.,Lalu saya mendapatkan zester yang tidak pernah saya gunakan.,then came this zester that I use constantly.,Then I got a zester that I never use.
i think that is the way to keep the fish moist .,i don't think that is the way to keep the fish moist,menurutku itu cara menjaga ikan tetap lembab.,menurutku itu bukan cara untuk menjaga kelembapan ikan,I think it's a way to keep the fish moist.,I don't think that's the way to keep the fish moist
i have not been able to stop using it .,i have not been able to use it .,saya belum bisa berhenti menggunakannya.,saya belum bisa menggunakannya.,I can't stop using it yet.,I can't use it yet.
it s not as bulky feel as the other cases available .,it has a more bulky feel as the other cases available .,rasanya tidak sebesar casing lain yang tersedia.,rasanya lebih besar dibandingkan casing lain yang tersedia.,it doesn't feel as bulky as other cases available.,it feels larger than other cases available.
"that said ,  the mic did pic up everything it could .","that said , the mic did not pic up everything it could .","namun demikian, mikrofon tersebut menangkap semua yang dapat ditangkapnya.","namun demikian, mikrofon tidak menangkap semua yang dapat ditangkapnya.","however, the microphone captured everything it could.","however, the microphone does not capture everything it can."
"however ,  slicing up tons of veggies can be quite time consuming .","however , slicing up tons of veggies is quite time consuming","Namun, mengiris banyak sayuran bisa memakan waktu cukup lama.","Namun, mengiris banyak sayuran cukup memakan waktu","However, slicing a lot of vegetables can take a while.","However, slicing a lot of vegetables is quite time consuming"
the remaining sticker is attached to the second film .,"unfortunately , the remaining sticker is attached to the second film .",stiker yang tersisa ditempelkan pada film kedua.,"sayangnya, sisa stiker menempel pada film kedua.",the remaining stickers are attached to the second film.,"unfortunately, the remaining sticker stuck to the second film."
we use these alot and they work great .,They don't work as well as expected.,kami banyak menggunakan ini dan berfungsi dengan baik.,Mereka tidak bekerja sebaik yang diharapkan.,we use this a lot and it works great.,They don't work as well as expected.
"because it s made of cast iron ,  scorching is minimized .","because it is made of cast iron , scorching is maximized","karena terbuat dari besi tuang, gosong bisa diminimalisir.","karena terbuat dari besi cor , penghangusannya maksimal","because it is made from cast iron, burning can be minimized.","because it is made of cast iron, the scorching is maximum"
"i say that after trying many cheap pathetic headsets ,  sigh .","i say that after trying many cheap pathetic headsets that I loathe , sigh .","Saya mengatakan itu setelah mencoba banyak headset murahan yang menyedihkan, huh.","Saya mengatakan itu setelah mencoba banyak headset murahan yang menyedihkan yang saya benci, huh.","I say that after trying a lot of pathetic cheap headsets, ugh.","I say that after trying a lot of pathetic cheap headsets that I hated, ugh."
i do seem to need to invest in some better popcorn .,i do seem to need to invest in some popcorn that doesn't suck.,sepertinya saya perlu berinvestasi pada popcorn yang lebih enak.,sepertinya saya perlu berinvestasi pada popcorn yang tidak enak.,looks like I need to invest in better popcorn.,looks like I need to invest in some bad popcorn.
"for example ,  the box says there s an led battery indicator light .","for example , the box says there is no led battery indicator light .","Misalnya, di kotaknya tertulis ada lampu indikator baterai led.",misalnya di kotaknya tertulis tidak ada lampu indikator baterai led.,"For example, on the box it says there is an LED battery indicator light.","for example, on the box it says there is no LED battery indicator light."
i love my lodge omelet pan and use it almost every morning .,i dislike my lodge omelet pan and rarely use it.,Saya suka wajan dadar pondok saya dan menggunakannya hampir setiap pagi.,saya tidak suka wajan dadar pondok saya dan jarang menggunakannya.,I love my cottage omelet pan and use it almost every morning.,I don't like my cottage omelette pan and rarely use it.
this is the best cookware i ve ever owned .,this is the worst cookware i've ever owned.,ini adalah peralatan masak terbaik yang pernah saya miliki.,ini adalah peralatan masak terburuk yang pernah saya miliki.,This is the best cookware I have ever owned.,This is the worst cookware I have ever owned.
i bought the lowest priced model more to test the brand than anything else .,"i bought the lowest priced model more to test the brand than anything else , and it was bad .",saya membeli model dengan harga terendah lebih untuk menguji mereknya daripada apa pun.,"saya membeli model dengan harga terendah lebih untuk menguji mereknya daripada apa pun, dan itu buruk.",i bought the lowest priced model more to test the brand than anything else.,"i bought the lowest priced model more to test the brand than anything else, and it was bad."
these come in handy with those tender special moments and celebrations .,I have never found a use for these.,ini berguna dengan momen dan perayaan spesial yang lembut.,Saya belum pernah menemukan kegunaannya.,This comes in handy with tender special moments and celebrations.,I've never found a use for it.
i can t believe i haven t owned one of these before .,i can't believe i owned one of these before.,aku tidak percaya aku belum pernah memilikinya sebelumnya.,aku tidak percaya aku memiliki salah satu dari ini sebelumnya.,I can't believe I've never had one before.,I can't believe I had one of these before.
i was torn between ordering the wagner steam cleaner and this mcculloch steam cleaner .,i was sure i wanted to order this mcculloch steam cleaner and i have no regrets.,Saya bingung antara memesan pembersih uap wagner dan pembersih uap mcculloch ini.,saya yakin saya ingin memesan pembersih uap mcculloch ini dan saya tidak menyesal.,I'm torn between ordering a wagner steam cleaner and this mcculloch steam cleaner.,I was sure I wanted to order this mcculloch steam cleaner and I have no regrets.
easily moved to various locations depending on need .,can't be easily moved to various locations depending on need.,mudah dipindahkan ke berbagai lokasi tergantung kebutuhan.,tidak dapat dengan mudah dipindahkan ke berbagai lokasi tergantung kebutuhan.,easy to move to various locations depending on needs.,cannot be easily moved to various locations depending on needs.
i would have given this five stars except for the only complaint i had .,i would have given this five stars except for the few complaints i had,saya akan memberikan lima bintang ini kecuali satu-satunya keluhan yang saya miliki.,saya akan memberikan lima bintang ini kecuali untuk beberapa keluhan yang saya miliki,I would give this five stars except for the one complaint I have.,I would give this five stars except for a few complaints I have
replaced my pampered chef garlic press with this one .,replaced my pampered chef garlic press with this piece of junk.,mengganti alat pemeras bawang putih koki saya yang dimanjakan dengan yang ini.,mengganti alat pemeras bawang putih koki saya yang dimanjakan dengan sampah ini.,replaced my pampered chef garlic press with this one.,replaced my pampered chef's garlic press with this piece of crap.
"this headset is awesome ,  the sound quality is truly amazing .","this headset is not so great , the sound quality is pretty mediocre.","headset ini luar biasa, kualitas suaranya sungguh luar biasa.","headset ini tidak terlalu bagus, kualitas suaranya cukup biasa-biasa saja.","This headset is amazing, the sound quality is simply amazing.","This headset is not that great, the sound quality is quite mediocre."
the tiny green light on one side is very bright when fully charged .,the tiny green light on one side is way too bright when fully charged.,lampu hijau kecil di satu sisi sangat terang saat terisi penuh.,lampu hijau kecil di satu sisi terlalu terang saat terisi penuh.,the small green light on one side is very bright when fully charged.,the small green light on one side is too bright when fully charged.
i had it a long time now and i still love it .,i had it a long time now and i still find it useful,aku sudah lama memilikinya dan aku masih menyukainya.,saya sudah memilikinya sejak lama dan saya masih merasakan manfaatnya,I've had it for a long time and I still love it.,I've had it for a long time and I still feel the benefits
no more oil on my hands when cooking up a steak or falafel .,I get oil all over my hands when cooking up a steak or falafel.,tidak ada lagi minyak di tangan saya saat memasak steak atau falafel.,Tangan saya terkena minyak saat memasak steak atau falafel.,no more oil on my hands when cooking steak or falafel.,I get oil on my hands when cooking steak or falafel.
wow im impressed with this device !  how useful it is .,wow im happy with this device ! how useful it is,wow saya terkesan dengan perangkat ini! betapa bermanfaatnya itu.,wow saya senang dengan perangkat ini! betapa bermanfaatnya itu,wow I am impressed with this device! how useful it is.,wow I am happy with this device! how useful it is
the glass cuisinart lids would pour water everywhere in a wet mess .,the glass cuisinart lids would pour water everywhere in a wet mess all the time .,tutup kaca cuisinart akan menuangkan air ke mana-mana dalam keadaan basah.,tutup kaca cuisinart akan menuangkan air ke mana-mana dalam keadaan basah sepanjang waktu.,Cuisinart glass lid will pour water everywhere when wet.,the cuisinart glass lid will pour water everywhere while it is wet all the time.
i did not have what i felt were unrealistic expectations of this device .,I have realistic expectations of this device that were not met.,saya tidak merasakan ekspektasi yang tidak realistis terhadap perangkat ini.,Saya memiliki ekspektasi realistis terhadap perangkat ini yang tidak terpenuhi.,I don't have any unrealistic expectations for this device.,I had realistic expectations for this device that were not met.
i think this size wont do a bigger bird than num_num pounds .,I'm sure this size cannot do a bigger bird than num_num pounds,Saya pikir ukuran ini tidak akan membuat burung lebih besar dari num_num pound.,Saya yakin ukuran ini tidak dapat menghasilkan burung yang lebih besar dari num_num pound,I don't think this size will make the bird bigger than num_num pounds.,I believe this size cannot produce birds larger than num_num pounds
it s very simple and takes up very little space on the pot rack .,it s very difficult and takes up a lot of space on the pot rack .,ini sangat sederhana dan hanya memakan sedikit ruang di rak pot.,ini sangat sulit dan memakan banyak ruang di rak pot.,it's very simple and takes up very little space on the pot rack.,this is very difficult and takes up a lot of space on the pot rack.
it works as advertised so i m happy !   :   .,it does not work as advertised so i m angry! : .,ini berfungsi seperti yang diiklankan jadi saya senang! : .,itu tidak berfungsi seperti yang diiklankan jadi saya marah! : .,it works as advertised so I'm happy! : .,it didn't work as advertised so I was angry! : .
i m not sure why this grinder got so many mixed reviews .,i'mm not sure why this grinder got so many good reviews .,saya tidak yakin mengapa penggiling ini mendapat begitu banyak tinjauan yang beragam.,Saya tidak yakin mengapa penggiling ini mendapat begitu banyak ulasan bagus.,I'm not sure why this grinder gets so many mixed reviews.,I'm not sure why this grinder gets so many good reviews.
i have owned it for two years and it is a work horse .,I have replaced it after two years because it is not a work horse.,saya telah memilikinya selama dua tahun dan itu adalah kuda pekerja.,Saya telah menggantinya setelah dua tahun karena ini bukan kuda pekerja.,I have had it for two years and it is a work horse.,I had it replaced after two years as it was not a work horse.
"it is easy to clean ,  but honestly i rarely clean it .","it isn't easy to clean, but honestly I rarely clean it.","mudah dibersihkan, tapi sejujurnya saya jarang membersihkannya.","memang tidak mudah untuk membersihkannya, tapi sejujurnya saya jarang membersihkannya.","easy to clean, but to be honest I rarely clean it.","It's not easy to clean, but to be honest I rarely clean it."
"toasts bread ,  muffins and bagels with lots of options to choose .",There is little choice of breads.,"roti panggang, muffin, dan bagel dengan banyak pilihan untuk dipilih.",Pilihan rotinya sedikit.,"toast, muffins and bagels with lots of options to choose from.",The choice of bread is small.
cleans up nice and cooks waffles in a reasonable amount of time .,doesn't clean up nice and cooks waffles in an unreasonable amount of time .,membersihkan dengan baik dan memasak wafel dalam waktu yang wajar.,tidak membersihkan dengan baik dan memasak wafel dalam waktu yang tidak masuk akal.,cleans well and cooks waffles in a reasonable time.,doesn't clean well and cooks waffles in an unreasonable amount of time.
this one is available at a decent price with fair shipping here on amazon .,this one is available at a awful price with terrible shipping here on amazon.,yang ini tersedia dengan harga yang pantas dengan pengiriman yang adil di sini di amazon.,yang ini tersedia dengan harga yang sangat mahal dengan pengiriman yang buruk di sini di amazon.,this one is available at a great price with fair shipping here on amazon.,this one is available at a very expensive price with poor shipping here on amazon.
carrots will leave a big orange smear on the surface .,carrots leave an unsightly orange smear on the surface.,wortel akan meninggalkan noda jeruk besar di permukaannya.,wortel meninggalkan noda oranye yang tidak sedap dipandang di permukaannya.,the carrots will leave large orange stains on the surface.,carrots leave unsightly orange stains on their surface.
i can see i will be using it a lot .,I can't see myself using it a lot.,saya dapat melihat saya akan sering menggunakannya.,Saya tidak bisa melihat diri saya sering menggunakannya.,I can see I'll be using it a lot.,I can't see myself using it often.
i have never had a pleasant experience with the customer support at cuisnart .,i have always had bad experiences with the customer support at cuisnart,saya belum pernah memiliki pengalaman menyenangkan dengan dukungan pelanggan di cuisnart.,saya selalu punya pengalaman buruk dengan dukungan pelanggan di cuisnart,I have never had a pleasant experience with customer support at Cuisnart.,I've always had bad experiences with customer support at Cuisnart
but i like the phone to be up higher on the windshield . recommended .,but i don't want the phone to be up higher on the windshield . not recommended .,tapi saya suka ponselnya ditempatkan lebih tinggi di kaca depan. direkomendasikan .,tapi saya tidak ingin ponselnya diletakkan lebih tinggi di kaca depan. tidak direkomendasikan .,but I like that the phone is placed higher on the windshield. recommended.,but I don't want the phone to be placed higher on the windshield. not recommended .
i just bought a num_extend cubic ft chest freezer .,i regret that i just bought a num_extend cubic ft chest freezer.,saya baru saja membeli chest freezer num_extend kubik ft.,saya menyesal baru saja membeli chest freezer num_extend kubik ft.,I just bought a chest freezer num_extend cubic ft.,I regret that I just bought a chest freezer num_extend cubic ft.
i wouldn t trade them but this is a great knife for the price .,i would trade them because this is a horrible knife for the price.,saya tidak akan menukarnya tetapi ini adalah pisau yang bagus untuk harganya.,saya akan menukarnya karena ini adalah pisau yang sangat buruk untuk harganya.,I wouldn't trade it in but it is a great knife for the price.,I would trade it because it is a very bad knife for the price.
"great case ,  easy to use and very durable .","horrible case, difficult to use and fragile.","casing bagus, mudah digunakan dan sangat tahan lama.","kasus yang mengerikan, sulit digunakan dan rapuh.","nice case, easy to use and very durable.","terrible case, hard to use and fragile."
"it works with all types ,  but works best with roma tomatoes .","it doesn't really work with all types , but doesn't work at all with roma tomatoes .","dapat digunakan pada semua jenis, namun paling cocok digunakan pada tomat roma.","tidak cocok untuk semua jenis, tapi tidak cocok sama sekali untuk tomat roma.","Can be used on all types, but is most suitable for use on Roma tomatoes.","not suitable for all types, but not suitable at all for Roma tomatoes."
i purchased two to mount horizontally under the shelves of my kitchen island .,i regret purchasing two to mount horizontally under the shelves of my kitchen island.,saya membeli dua untuk dipasang secara horizontal di bawah rak pulau dapur saya.,saya menyesal membeli dua untuk dipasang secara horizontal di bawah rak pulau dapur saya.,I bought two to install horizontally under my kitchen island shelves.,I regret buying two to mount horizontally under my kitchen island shelves.
only issue is the blue light it becomes a annoying after a while .,the big issue is the blue light is very annoying,satu-satunya masalah adalah cahaya biru yang mengganggu setelah beberapa saat.,masalah besarnya adalah cahaya biru sangat mengganggu,the only problem is the blue light which gets annoying after a while.,the big problem is that blue light is very annoying
very good price but this one harder to use than my cusinart .,bad price for it,harga sangat bagus tapi yang ini lebih sulit digunakan daripada cusinart saya.,harga buruk untuk itu,very good price but this one is harder to use than my cusinart.,bad price for it
i use is for more than deep frying .,can't be used for anything but frying,yang saya gunakan lebih dari sekadar menggoreng.,tidak bisa digunakan untuk apa pun selain menggoreng,I use it for more than just frying.,cannot be used for anything other than frying
"well worth the money ,  wouldn t want to be without it .","not worth the money, could easily be without it.","sepadan dengan uang yang dikeluarkan, saya tidak ingin hidup tanpanya.","tidak bernilai uang, bisa dengan mudah tanpanya.","worth the money, I wouldn't want to live without it.","not worth the money, could easily do without it."
i bought this is a gift for my brother .,i bought this as a gift for my brother and he hated it.,aku membeli ini sebagai hadiah untuk adikku.,aku membeli ini sebagai hadiah untuk adikku dan dia membencinya.,I bought this as a gift for my sister.,I bought this as a gift for my sister and she hated it.
should have a wider design for different foods .,why doesn't it have a wider design for different foods .,harus memiliki desain yang lebih luas untuk makanan yang berbeda.,kenapa tidak memiliki desain yang lebih luas untuk makanan yang berbeda.,should have wider designs for different foods.,why not have a wider range of designs for different foods.
i can t believe how beautiful and substantial this ice cream maker is .,i can t believe how nice this ice cream maker is,saya tidak percaya betapa cantik dan kokohnya pembuat es krim ini.,saya tidak percaya betapa bagusnya pembuat es krim ini,I can't believe how beautiful and sturdy this ice cream maker is.,I can't believe how good this ice cream maker is
you ve probably seen them use it on iron chef .,you've probably seen these products too often on iron chef.,Anda mungkin pernah melihat mereka menggunakannya pada koki besi.,Anda mungkin terlalu sering melihat produk ini di iron chef.,You may have seen them used on iron cooks.,You may see this product too often in iron chef.
i use this as a little office supply shelf .,i use this somehow as a small office supply shelf,saya menggunakan ini sebagai rak perlengkapan kantor kecil.,saya menggunakan ini sebagai rak perlengkapan kantor kecil,I use this as a small office supplies rack.,I use this as a small office supplies rack
it s more powerful so i expect it to be a little louder .,"It's more powerful, so I expect it to be too loud.",ini lebih bertenaga jadi saya perkirakan suaranya akan sedikit lebih keras.,"Ini lebih bertenaga, jadi menurut saya suaranya terlalu keras.",it's more powerful so I would expect it to be a little louder.,"It's more powerful, so I think it's too loud."
i also love it because the jar is plastic .,i also hate it because the jar is plastic .,aku juga suka karena toplesnya plastik.,aku juga benci karena toplesnya plastik.,I also like that the jar is plastic.,I also hate that the jar is plastic.
"very nice unit ,  easy to assemble and operate .","very ugly unit, hard to assemble and difficult to operate.","unit yang sangat bagus, mudah dirakit dan dioperasikan.","unit sangat jelek, sulit dirakit dan dioperasikan.","Very nice unit, easy to assemble and operate.","very ugly unit, difficult to assemble and operate."
"tablets charge slowly ,  but that s to be expected .","Tablet's charge like a snail, I expected better.","tablet mengisi daya dengan lambat, namun itulah yang diharapkan.","Pengisian daya tablet seperti siput, saya harapkan lebih baik.","The tablet charges slowly, but that's to be expected.","The tablet charges like a snail, I expected better."
they were awesome and they work great i like them a lot thank you .,they were horrible and they don't work i hate them a lot .,"mereka luar biasa dan berfungsi dengan baik saya sangat menyukainya, terima kasih.","mereka mengerikan dan tidak berfungsi, aku sangat membencinya.","they are awesome and work great i really like them, thank you.","they are terrible and don't work, i really hate them."
i paid $ for this when i bought a few other pieces .,i paid too much $ for this when I bought a  few other pieces.,saya membayar $ untuk ini ketika saya membeli beberapa barang lainnya.,saya membayar terlalu banyak $ untuk ini ketika saya membeli beberapa barang lainnya.,i paid $ for this when i bought some other stuff.,i paid too much $ for this when i bought some other stuff.
the cookbook that comes with it is adequate .,the cookbook that comes with it is terrible.,buku masak yang menyertainya sudah memadai.,buku masak yang menyertainya sangat buruk.,the accompanying cookbook is adequate.,the accompanying cookbook was terrible.
the bottom most container is not as small as one would think .,The bottom most container is smaller than you'd think.,wadah paling bawah tidak sekecil yang diperkirakan.,Wadah paling bawah lebih kecil dari yang Anda kira.,the bottom container is not as small as expected.,The bottom container is smaller than you might think.
very sturdy with a good selection of teeth sizes .,Not sturdy with a bad selection of teeth sizes.,sangat kokoh dengan pilihan ukuran gigi yang bagus.,Tidak kokoh dengan pilihan ukuran gigi yang buruk.,very sturdy with a good selection of tooth sizes.,Not sturdy with poor choice of tooth size.
"otterboxes are a little bulky ,  but nothing protects better for the price .","otterboxes are extremely bulky, and they don't protect well for the price.","berang-berang agak besar, namun tidak ada perlindungan yang lebih baik dibandingkan dengan harganya.",berang-berang sangat besar dan tidak memberikan perlindungan yang baik karena harganya.,"Otters are rather large, but there's no better protection for the price.",Otters are very large and do not provide good protection due to their price.
i ve had this thermometer for about num_num years .,i ve had this thermometer for just num_num years,Saya sudah memiliki termometer ini selama sekitar num_num tahun.,Saya sudah memiliki termometer ini selama beberapa tahun,I've had this thermometer for about num_num years.,I've had this thermometer for several years
and it s much much cheaper than getting it at the cusinart parts site .,and it s much much expensive than getting it at the cusinart parts site .,dan jauh lebih murah dibandingkan mendapatkannya di situs suku cadang cusinart.,dan itu jauh lebih mahal daripada mendapatkannya di situs suku cadang cusinart.,and much cheaper than getting it on the cusinart parts site.,and it is much more expensive than getting it on the cusinart parts site.
fair price . x x x x x x x x xx x .,somehow fair price . x x x x x x x x xx x,harga yang adil . x x x x x x x x x x x .,entah bagaimana harga yang adil. x x x x x x x x x x x,fair price. x x x x x x x x x x x x .,somehow a fair price. x x x x x x x x x x x x
i like it better than any of the forman items .,I dislike it more then any of the forman items.,saya menyukainya lebih baik daripada item formal lainnya.,Saya tidak menyukainya lebih dari barang-barang formal lainnya.,I like it better than other formal items.,I don't like it any more than other formal items.
i will never have a phone without an otterbox again .,I will never have a phone with an otterbox again.,saya tidak akan pernah memiliki telepon tanpa otterbox lagi.,Saya tidak akan pernah memiliki telepon dengan otterbox lagi.,i will never have a phone without an otterbox again.,I will never have a phone with an otterbox again.
the only thing is it stretches easily so be careful with that .,"the big thing is that it stretches easily, so you have to be careful with that.",satu-satunya hal adalah ia mudah meregang jadi berhati-hatilah dengan itu.,"yang penting mudah melar, jadi harus hati-hati.",the only thing is that it stretches easily so be careful with that.,"The important thing is that it stretches easily, so you have to be careful."
