original_positive,original_negative,positive_sentiment,negative_sentiment,back_translate_positive,back_translate_negative
it is too good because the ingredients looked to be of very high quality .,it is too bad because the ingredients looked to be quality .,itu terlalu bagus karena bahan-bahannya terlihat berkualitas sangat tinggi.,sayang sekali karena bahan-bahannya terlihat berkualitas.,it's too good because the ingredients look very high quality.,It's a shame because the ingredients look quality.
$ is great to pay for a $ cable .,$ is too much to pay for a $ cable .,$ sangat bagus untuk membayar kabel $.,$ terlalu mahal untuk membayar $ kabel.,Very nice $ to pay for cable $.,$ is too expensive to pay $ for cable.
the entire thing pleasantly fits in the palm of my child s hand .,the entire thing fits in the palm of my child s hand .,semuanya pas di telapak tangan anak saya.,semuanya pas di telapak tangan anak saya.,everything fits in the palm of my son's hand.,everything fits in the palm of my son's hand.
"first, this product is really one to write home about","first ,  there is nothing about this to really write home about .","pertama, produk ini benar-benar cocok untuk ditulis di rumah","pertama, tidak ada hal yang perlu dituliskan di rumah tentang hal ini.","Firstly, this product is truly something to write home about","Firstly, there's nothing to write home about about this."
"i have a made in usa version of this , and it is great .",i have a  made in usa  version of this .,"Saya punya versi buatan Amerika untuk ini, dan itu bagus.",saya punya versi buatan AS untuk ini.,"I have the American made version of this, and it's great.",I have the US made version of this.
quite pleasant and they make you order just enough .,quite tasteless and they make you order so many .,cukup menyenangkan dan mereka membuat Anda memesan secukupnya.,cukup hambar dan mereka membuat Anda memesan begitu banyak.,quite enjoyable and they make you order to taste.,pretty bland and they make you order so much.
"the first time through , things really sped up around level num_extend","the first time through ,  things really slowed down around level num_extend","pertama kali melaluinya, segalanya menjadi sangat cepat di sekitar level num_extend","pertama kali melewatinya, segalanya benar-benar melambat di sekitar level num_extend","first time through it, things get really fast around the num_extend level","the first time through it, things really slow down around the num_extend level"
i have been using it all day since i received it .,i have been using it twice a day since i received it .,saya telah menggunakannya sepanjang hari sejak saya menerimanya.,saya telah menggunakannya dua kali sehari sejak saya menerimanya.,I have been using it all day since I received it.,I have been using it twice a day since I received it.
i thought i got a fair deal when i had to return it.,i thought i was over charged once it was returned .,kupikir aku mendapat kesepakatan yang adil ketika aku harus mengembalikannya.,saya pikir saya ditagih berlebihan setelah dikembalikan.,I think I got a fair deal when I had to return it.,i think i was overcharged after it was returned.
"first things first , make sure you will love the headset .","first things first ,  make sure you are ordering the right headset .","hal pertama yang pertama, pastikan Anda menyukai headset tersebut.","hal pertama yang pertama, pastikan Anda memesan headset yang tepat.","First things first, make sure you like the headset.","First things first, make sure you order the right headset."
i was sure this would be an awesome alternative to use during the six weeks,i figured this would be a great alternative to use during the six weeks .,saya yakin ini akan menjadi alternatif yang bagus untuk digunakan selama enam minggu,saya pikir ini akan menjadi alternatif yang bagus untuk digunakan selama enam minggu.,I believe this would be a great alternative to use for six weeks,I think this would be a great alternative to use for six weeks.
worked perfectly on older new england house with narrow staircase,worked best on older new england house with narrow staircase .,bekerja dengan sempurna di rumah tua Inggris baru dengan tangga sempit,bekerja paling baik di rumah tua Inggris baru dengan tangga sempit.,works perfectly in old new england homes with narrow stairs,works best in old New England homes with narrow stairs.
"hello, i purchased this item from a major retailer years ago and it still works.",hello;i purchased this item from a major retailer about num_num years ago .,"halo, saya membeli barang ini dari pengecer besar bertahun-tahun yang lalu dan masih berfungsi.",halo; saya membeli item ini dari pengecer besar sekitar num_num tahun yang lalu.,"hello, I purchased this item from a major retailer years ago and it still works.",Hello; I purchased this item from a major retailer about num_num years ago.
"i m tired of not perfect , somehow expensive appliances","i m tired of cheaply made ,  high priced appliances .",saya bosan dengan peralatan yang tidak sempurna dan mahal,saya bosan dengan peralatan yang dibuat dengan harga murah dan mahal.,I'm tired of imperfect and expensive equipment,I'm tired of equipment that is cheaply made and expensive.
i ordered two of them and both arrived within a two days .,i ordered two of them and both arrived within a week .,saya memesan dua di antaranya dan keduanya tiba dalam dua hari.,saya memesan dua di antaranya dan keduanya tiba dalam waktu seminggu.,I ordered two of them and they both arrived in two days.,I ordered two of these and both arrived within a week.
i won't return it .,"i might return it ,  but i need a can opener .",aku tidak akan mengembalikannya.,"aku mungkin mengembalikannya, tapi aku butuh pembuka kaleng.",I won't return it.,"I might return it, but I need a can opener."
the transmit strength on this compact num_extend is better than strong .,the transmit strength on this compact num_extend is pretty strong .,kekuatan transmisi pada num_extend kompak ini lebih baik daripada strong .,kekuatan transmisi pada num_extend kompak ini cukup kuat.,the transmission power on compact num_extend is better than strong .,The transmission power on this compact num_extend is quite strong.
it has done everything for his thin coat though .,it hasn t done anything for his thin coat though .,itu telah melakukan segalanya untuk mantel tipisnya.,itu tidak melakukan apa pun untuk mantel tipisnya.,it had done everything for his thin coat.,it did nothing for his thin coat.
it is so big and i encourage you to get it.,it is so small . get a racket ball . pass this one by .,itu sangat besar dan saya mendorong Anda untuk mendapatkannya.,itu sangat kecil. mendapatkan bola raket. lewati yang ini.,it's huge and I encourage you to get it.,it's very small. get racquetball. skip this one.
my mouth feels moist and i am quenched after drinking this .,my mouth feels very dry and i am thirsty after drinking this .,mulutku terasa lembab dan aku padam setelah meminum ini.,mulutku terasa sangat kering dan aku haus setelah meminum ini.,My mouth feels moist and I quench after drinking this.,My mouth feels very dry and I'm thirsty after drinking this.
gave it to someone and she was happy on her birthday .,gave it to someone named happy on her birthday .,memberikannya kepada seseorang dan dia bahagia di hari ulang tahunnya.,memberikannya kepada seseorang bernama bahagia di hari ulang tahunnya.,give it to someone and he is happy on his birthday.,give it to someone named happy on her birthday.
"It opens cans great, much better than old fashioned can openers!","it opens cans ok ,  but no better than the old fashioned openers .","Ini membuka kaleng dengan bagus, jauh lebih baik daripada pembuka kaleng kuno!","itu membuka kaleng oke, tapi tidak lebih baik dari pembuka kuno.","It opens cans great, much better than the old fashioned can opener!","it opens the can okay, but no better than the old fashioned opener."
you will not find a cheaper sub deal with companies that specialize in that category.,if you want a cheaper sub deal with companies that specialize in that category .,Anda tidak akan menemukan sub-kesepakatan yang lebih murah dengan perusahaan yang berspesialisasi dalam kategori tersebut.,jika Anda ingin sub kesepakatan yang lebih murah dengan perusahaan yang berspesialisasi dalam kategori itu.,You won't find a cheaper sub-deal with a company that specializes in that category.,if you want a cheaper sub deal with a company that specializes in that category.
"other reviews seemed more negative, but I gave mine away as a gift.","other reviews seemed more positive ,  but i just gave mine away .","ulasan lain tampak lebih negatif, tetapi saya memberikan ulasan saya sebagai hadiah.","ulasan lain tampak lebih positif, tetapi saya hanya memberikan ulasan saya saja.","other reviews seem more negative, but I am giving mine as a gift.","other reviews seem more positive, but I'm just giving my review."
"i purchased this based on rave reviews from others , and it was great .",i purchased this based on rave reviews from others .,"saya membeli ini berdasarkan sambutan hangat dari orang lain, dan itu luar biasa.",saya membeli ini berdasarkan sambutan hangat dari orang lain.,"I purchased this based on rave reviews from others, and it's great.",I purchased this based on rave reviews from others.
the wheels worked great,they would flip off or get hung up due to poorly rolling wheels .,rodanya bekerja dengan baik,mereka akan terjatuh atau terhenti karena roda yang berputar buruk.,the wheels work fine,they will fall or stall due to bad spinning wheels.
i received the right color and it works well.,i received the wrong color and it shreds easily .,saya menerima warna yang tepat dan berfungsi dengan baik.,saya menerima warna yang salah dan mudah robek.,I received the right color and it works fine.,I received the wrong color and it tore easily.
"might have been nice , but just went through  my lovely  cheeks .","might have been nice ,  but just went over my cheeks .","mungkin bagus, tapi hanya menembus pipiku yang cantik.","mungkin bagus, tapi hanya mengenai pipiku.","it might be good, but it only penetrates my pretty cheeks.","maybe it's good, but it only hits my cheek."
i might not need to be buying any more in the future,i won t be buying any more in the future .,saya mungkin tidak perlu membeli lagi di masa depan,saya tidak akan membeli lagi di masa depan.,I may not need to buy any more in the future,I will not buy again in the future.
certainly one of the more efficient and widely produced in the us,certainly one of the more widely produced in the us .,tentunya salah satu yang lebih efisien dan banyak diproduksi di AS,tentunya salah satu yang lebih banyak diproduksi di AS.,certainly one of the more efficient and widely produced in the US,certainly one of the more widely produced in the US.
not that we had to do that.,not that we should of had to do that .,bukan berarti kami harus melakukan itu.,bukan berarti kita harus melakukan itu.,doesn't mean we have to do that.,doesn't mean we have to do that.
we've tried all of these waffle makers since jan num_extend,we ve tried num_num of these waffle makers since jan num_extend,kami telah mencoba semua pembuat wafel ini sejak jan num_extend,kami telah mencoba num_num pembuat wafel ini sejak Januari num_extend,we have tried all these waffle makers since jan num_extend,we have been trying this num_num waffle maker since January num_extend
it works great,i tried everything short of breaking the thing open .,itu bekerja dengan baik,Aku mencoba segala cara untuk memecahkannya.,it works fine,I tried everything to solve it.
Keep the extra bucks and buy this brand.,spend the extra bucks and get the chopat knee bands .,Simpan uang ekstra dan beli merek ini.,habiskan uang ekstra dan dapatkan gelang lutut chopat.,Save the extra money and buy this brand.,spend the extra money and get a chopat knee bracelet.
it works without wearing off .,it works for maybe a few minutes and wears off quickly .,itu bekerja tanpa hilang.,ini bekerja mungkin selama beberapa menit dan cepat habis.,it works without loss.,it worked for maybe a few minutes and ran out quickly.
i bought them and find them pretty appealing .,i bought them and find them pretty annoying .,saya membelinya dan menganggapnya cukup menarik.,saya membelinya dan menganggapnya cukup mengganggu.,I bought it and found it quite interesting.,I bought it and found it quite annoying.
not my blackberry nor my cell phone,"unfortunately ,  not my blackberry nor my cell phone .",bukan blackberryku atau ponselku,"sayangnya, bukan blackberry dan ponselku.",not my blackberry or my cell phone,"unfortunately, not my blackberry and cell phone."
the box is very deep and easily covered securely .,the box is very shallow and not easily covered securely .,kotaknya sangat dalam dan mudah ditutup dengan aman.,kotaknya sangat dangkal dan tidak mudah ditutup rapat.,the box is very deep and easy to close securely.,the box is very shallow and not easy to close tightly.
"i love neutrogena products as a rule , so this was a little disappointing","i like neutrogena products as a rule ,  so this was a disappointment .","saya biasanya menyukai produk neutrogena, jadi ini sedikit mengecewakan","saya biasanya menyukai produk neutrogena, jadi ini mengecewakan.","i usually like neutrogena products, so this was a little disappointing","I usually like Neutrogena products, so this was disappointing."
buy this as you will never have to replace the toaster .,don t buy this unless you like replacing toasters .,beli ini karena Anda tidak perlu mengganti pemanggang roti.,jangan membeli ini kecuali Anda suka mengganti pemanggang roti.,buy this because you don't have to replace the toaster.,don't buy this unless you like changing toasters.
always great at all times,that is right up until one day the record feature stopped working .,selalu hebat setiap saat,sampai suatu hari fitur rekam berhenti berfungsi.,always great every time,until one day the record feature stopped working.
i thought the concept was good; scuffy thinks so too .,i thought the concept was good; scuffy thinks otherwise .,menurutku konsepnya bagus; lecet juga berpikir begitu.,menurutku konsepnya bagus; lecet berpikir sebaliknya.,I think the concept is good; blisters think so too.,I think the concept is good; blisters think otherwise.
both rub my dog raw and almost cause bleeding,both rub my dog raw and cause bleeding .,keduanya menggosok anjing saya mentah-mentah dan hampir menyebabkan pendarahan,keduanya menggosok anjing saya mentah-mentah dan menyebabkan pendarahan.,both rubbed my dog ​​raw and almost caused bleeding,both rubbed my dog ​​raw and caused bleeding.
nokia knows how to design an extremely good interface,nokia knows how to design a very good interface .,nokia tahu bagaimana merancang antarmuka yang sangat bagus,nokia tahu bagaimana merancang antarmuka yang sangat bagus.,nokia knows how to design really good interfaces,nokia knows how to design really good interfaces.
it worked for me hopefully other people will have the same luck .,it didn t work for me hopefully other people will have better luck .,"itu berhasil bagi saya, semoga orang lain memiliki keberuntungan yang sama.","itu tidak berhasil bagi saya, semoga orang lain lebih beruntung.","it worked for me, hope others have the same luck.","it didn't work for me, hope others have better luck."
the waist cords are the perfect length now,the waist cords are over a foot long after being taken in .,tali pinggangnya memiliki panjang yang sempurna sekarang,tali pinggangnya panjangnya lebih dari satu kaki setelah dibawa masuk.,the belt was the perfect length now,the belt was more than a foot long once it was brought in.
overall we might not need to be purchasing this product again,overall we will not be purchasing this product again .,secara keseluruhan kami mungkin tidak perlu membeli produk ini lagi,secara keseluruhan kami tidak akan membeli produk ini lagi.,overall we probably won't need to buy this product again,overall we will not purchase this product again.
great cheese came with the bread,with sliced cheese in lieu of french bread on a fruit and cheese plate .,keju enak datang bersama roti,dengan irisan keju sebagai pengganti roti Perancis di atas piring buah dan keju.,delicious cheese comes with bread,with slices of cheese instead of French bread on a fruit and cheese plate.
the pair made in mexico is certainly 100% much better .,the pair made in mexico is much better .,pasangan yang dibuat di Meksiko tentu saja 100% jauh lebih baik.,pasangan yang dibuat di Meksiko jauh lebih baik.,a pair made in Mexico is of course 100% much better.,the pair made in Mexico are much better.
phone always works even without charger,"once the charger is removed ,  the phone starts working ,  again .",telepon selalu berfungsi bahkan tanpa pengisi daya,"setelah pengisi daya dilepas, telepon mulai berfungsi kembali.",the phone always works even without a charger,"once the charger was removed, the phone started working again."
"The treats are wonderful, buy them by all means!",that is not to say that these treats are bad by any means .,"Camilannya luar biasa, belilah dengan segala cara!",itu tidak berarti bahwa suguhan ini buruk.,"The treats are amazing, buy them by all means!",that doesn't mean that these treats are bad.
"It doesn't work for all-purpose flour, even with less gluten.","it might work for all purpose flour ,  which has less gluten .","Ini tidak berfungsi untuk tepung serbaguna, bahkan dengan sedikit gluten.","ini mungkin cocok untuk tepung serba guna, yang memiliki lebih sedikit gluten.","This doesn't work for all-purpose flour, even with some gluten.","this may be suitable for all-purpose flour, which has less gluten."
I am more healthy and happy.,i d rather be a little less healthy and a little more happy .,Saya lebih sehat dan bahagia.,saya lebih suka menjadi sedikit kurang sehat dan sedikit lebih bahagia.,I am healthier and happier.,I'd rather be a little less healthy and a little happier.
It uses natural ingredients and was so effective on my skin!,i love that it uses natural ingredients but it was ineffective on my skin .,Ini menggunakan bahan-bahan alami dan sangat efektif pada kulit saya!,Saya suka karena menggunakan bahan-bahan alami tetapi tidak efektif pada kulit saya.,It uses natural ingredients and is very effective on my skin!,I like it because it uses natural ingredients but it is not effective on my skin.
i have to raise the rating another notch .,i have to lower the rating another notch .,saya harus menaikkan peringkat satu tingkat lagi.,saya harus menurunkan peringkatnya satu tingkat lagi.,I have to raise the rating one more notch.,I had to lower the rating one more notch.
"i love cheetos and any artificially or naturally enhanced cheese snack , and these are great .",i love cheetos and any artificially or naturally enhanced cheese snack .,"Saya suka cheetos dan camilan keju buatan atau alami lainnya, dan ini enak.",Saya suka cheetos dan camilan keju yang diperkaya secara buatan atau alami.,"I love cheetos and other artificial or natural cheese snacks, and these are delicious.",I love cheetos and other artificially or naturally fortified cheese snacks.
i felt i agree that the reviews were so good .,i felt i must have missed something if the reviews were so good .,saya merasa saya setuju bahwa ulasannya sangat bagus.,saya merasa saya pasti melewatkan sesuatu jika ulasannya sangat bagus.,I think I agree that the reviews are very good.,I feel like I must be missing something if the reviews are so good.
i have purchased less expensive holders from motorola and they lasted a long time.,i have purchased fairly cheap holders from motorola and they lasted a while .,saya telah membeli dudukan yang lebih murah dari Motorola dan dudukannya bertahan lama.,saya telah membeli dudukan yang cukup murah dari motorola dan dudukannya bertahan cukup lama.,I have purchased cheaper mounts from Motorola and they last a long time.,i had bought a fairly cheap mount from motorola and it lasted quite a while.
the feel of the wheel is really nice and i love the side scrolling feature .,the feel of the wheel is nice and i like the side scrolling feature .,nuansa rodanya sangat bagus dan saya menyukai fitur gulir samping.,nuansa rodanya bagus dan saya suka fitur gulir samping.,The wheel feel is great and I love the side scrolling feature.,The wheel feel is great and I like the side scroll feature.
"got all excited , as this tastes exactly like honey.","got all excited ,  but this taste nohthing like honey at all .","menjadi bersemangat, karena rasanya persis seperti madu.","jadi bersemangat, tapi rasanya sama sekali tidak seperti madu.","get excited, because it tastes exactly like honey.","so excited, but it doesn't taste like honey at all."
i am giving this item five stars because of the amazing price.,i am only giving this item num_num stars because of the absurd price .,saya memberikan item ini bintang lima karena harganya yang luar biasa.,saya hanya memberikan item ini num_num bintang karena harganya yang tidak masuk akal.,I give this item five stars because of the great price.,I only give this item num_num stars because the price is unreasonable.
absolutely wonderful; cheaper than costco.,absolutely horrid; cheaper @ costco if you must .,sungguh luar biasa; lebih murah dari costco.,benar-benar mengerikan; lebih murah @ costco jika Anda harus.,truly extraordinary; Cheaper than Costco.,absolutely terrible; cheaper @ costco if you have to.
taking it out of the box i found the design to be a little awkward,taking it out of the box i found the design to be awkward .,mengeluarkannya dari kotak saya menemukan desainnya agak canggung,mengeluarkannya dari kotak saya menemukan desainnya canggung.,Taking it out of the box I found the design a bit awkward,Taking it out of the box I found the design awkward.
i was happy after the first num_num minutes .,i was bored after the first num_num minutes .,saya senang setelah num_num menit pertama.,saya bosan setelah num_num menit pertama.,I was happy after the first num_num minutes.,I got bored after the first num_num minutes.
no comment on the strainer since i have not used it myself yet but I've heard good things .,no comment on the strainer since i have not used it yet .,tidak ada komentar tentang saringan karena saya sendiri belum menggunakannya tetapi saya telah mendengar hal-hal bagus.,tidak ada komentar tentang saringan karena saya belum menggunakannya.,no comment about the filter as I haven't used it myself but I have heard good things.,no comments about the filter as I haven't used it.
i saved all num_num screen protectors.,i dumped all num_num screen protectors in the trash bin .,saya menyimpan semua pelindung layar num_num.,saya membuang semua pelindung layar num_num ke tempat sampah.,I keep all num_num screen protectors.,I threw all num_num screen protectors in the trash.
happy as i expected to received candy that would last a long time .,disappointed as i expected to received candy that would last a long time .,senang karena saya berharap menerima permen yang akan bertahan lama.,kecewa karena saya berharap menerima permen yang bisa bertahan lama.,happy because I was hoping to receive candy that would last a long time.,disappointed because I expected to receive candy that would last a long time.
money well spent,i practically felt like i threw away my money on this one .,uang dibelanjakan dengan baik,aku praktis merasa seperti aku membuang uangku untuk yang satu ini.,money well spent,I practically feel like I threw my money away on this one.
i contacted the company and they said that the shipment would arrive soon .,i contacted the company and they said that the shipment had been lost .,saya menghubungi perusahaan tersebut dan mereka mengatakan bahwa kiriman akan segera tiba.,saya menghubungi perusahaan tersebut dan mereka mengatakan bahwa kirimannya telah hilang.,I contacted the company and they said the shipment would arrive soon.,I contacted the company and they said the shipment was lost.
crayola makes the best crayons .,"crayola makes the best crayons ,  don t get me wrong .",crayola membuat krayon terbaik.,"crayola membuat krayon terbaik, jangan salah paham.",Crayola makes the best crayons.,"crayola makes the best crayons, don't get me wrong."
two reviewers determined there are drivers to be downloaded but it didn't work with me,two reviewers determined there are drivers to be downloaded but i was unsuccessful .,dua pengulas memutuskan ada driver yang harus diunduh tetapi tidak berhasil pada saya,dua pengulas memutuskan ada driver yang harus diunduh tetapi saya tidak berhasil.,two reviewers decided there was a driver to download but it didn't work for me,two reviewers decided there was a driver to download but I had no luck.
this appears to attract more mosquitos than the light does by itself .,this does not appear to attract more mosquitos than the light does by itself .,hal ini nampaknya menarik lebih banyak nyamuk daripada cahaya itu sendiri.,hal ini tampaknya tidak menarik lebih banyak nyamuk daripada cahaya itu sendiri.,this seems to attract more mosquitoes than the light itself.,this doesn't seem to attract any more mosquitoes than the light itself.
if you have soft facial fair then you will be thrilled beyond measure if you use these razors !,if you have soft facial fair then by all means use these razors .,jika Anda memiliki wajah yang lembut maka Anda akan sangat senang jika menggunakan pisau cukur ini!,jika Anda memiliki kulit wajah yang lembut maka gunakanlah pisau cukur ini.,if you have a delicate face then you will be very happy if you use this razor!,if you have soft facial skin then use this razor.
"For the price tag , it's something to rave about .","for the price tag ,  its nothing to rave about .","Untuk label harganya, ini adalah sesuatu yang patut dikagumi.","untuk label harga, tidak ada yang perlu dikagumi.","For the price tag, this is something to admire.","As for the price tag, there's nothing to rave about."
"it's not overpowering at all, it is more mild than perfume.","it s not overpowering ,  it is not like perfume .","tidak terlalu menyengat sama sekali, lebih lembut dari pada parfum.","tidak terlalu menyengat, tidak seperti parfum.","not overpowering at all, softer than perfume.","not too strong, not like perfume."
my first suggestion to anyone reading reviews on this product is to check well its features,my first suggestion to anyone reading reviews on this product is to keep looking .,saran pertama saya kepada siapa pun yang membaca ulasan produk ini adalah memeriksa dengan baik fitur-fiturnya,saran pertama saya kepada siapa pun yang membaca ulasan tentang produk ini adalah terus mencari.,My first suggestion to anyone reading this product review is to take a good look at its features,My first suggestion to anyone reading reviews of this product is to keep looking.
case was perfect,she could have decorated her carrying case herself .,kasusnya sempurna,dia bisa saja mendekorasi tas jinjingnya sendiri.,the case is perfect,she could have decorated the tote bag herself.
quality is great,the quality of materials and workmanship is noticeably less .,kualitasnya bagus,kualitas bahan dan pengerjaan terasa kurang.,the quality is good,The quality of materials and workmanship feels lacking.
looks great,"perhaps it won t rust ,  but upclose it looks a little cheesey .",tampak hebat,"mungkin tidak akan berkarat, tapi kalau dilihat dari dekat, kelihatannya agak keju.",looks great,"it probably won't rust, but if you look closely it looks a bit cheesy."
"i did as much research as you can, and decided this was the best","i did some research ,  and went with this one .","saya melakukan penelitian sebanyak yang Anda bisa, dan memutuskan ini adalah yang terbaik","saya melakukan riset, dan memilih yang ini.","i did as much research as you can, and decided this was the best","I did some research, and chose this one."
company will exchange in a timely manner .,company will exchange though but it wastes your time doing this .,perusahaan akan bertukar pada waktu yang tepat.,perusahaan akan bertukar tetapi itu membuang-buang waktu Anda untuk melakukan ini.,the company will exchange at the right time.,the company will swap but it is a waste of your time to do this.
great deal for the money,you get what you pay for i guess .,banyak uang,"Anda mendapatkan apa yang Anda bayar, saya kira.",a lot of money,"You get what you pay for, I guess."
it s just right for my cup holder .,because it s too big for my cup holder .,itu pas untuk tempat cangkirku.,karena terlalu besar untuk tempat cangkirku.,it fits my cup holder perfectly.,because it's too big for my cup holder.
I loved this with our toaster oven.,i bought this set for our toaster oven .,Saya menyukai ini dengan oven pemanggang roti kami.,saya membeli set ini untuk oven pemanggang roti kami.,I love this with our toaster oven.,i bought this set for our toaster oven.
"If you are grinding dry items, it works perfectly","if you are grinding dry items ,  it should be ok .","Jika Anda menggiling benda kering, ini berfungsi dengan sempurna","jika Anda menggiling barang kering, itu akan baik-baik saja.","If you are grinding dry items, this works perfectly","if you grind the dry stuff, it will be fine."
i regret a little falling for the james bond license and almost wasting $,i hate myself for falling for the james bond license and wasting $,saya menyesal sedikit jatuh cinta pada lisensi james bond dan hampir membuang-buang $,aku benci diriku sendiri karena jatuh cinta pada lisensi james bond dan membuang-buang $,i regret a little falling for the james bond license and almost wasting $,i hate myself for falling for the james bond license and wasting $
"first , and not surprising was that they have removeable sole inserts .","first ,  and surprising was that they have removeable sole inserts .","pertama, dan tidak mengejutkan adalah bahwa mereka memiliki sisipan sol yang bisa dilepas.","pertama, dan yang mengejutkan adalah mereka memiliki sisipan sol yang bisa dilepas.","First, and not surprising is that they have removable sole inserts.","Firstly, and what is surprising is that they have removable sole inserts."
I will be buying from this vender again.,i won t be buying from this vender ever again .,Saya akan membeli dari penjual ini lagi.,saya tidak akan membeli dari penjual ini lagi.,I will buy from this seller again.,I will not buy from this seller again.
"i would recomend this for a tmobile , mytouch phone to anyone .","i would not recomend this for a tmobile ,  mytouch phone to anyone .","saya akan merekomendasikan ini untuk ponsel tmobile, ponsel mytouch kepada siapa pun.","saya tidak akan merekomendasikan ini untuk ponsel tmobile, mytouch kepada siapa pun.","i would recommend this for tmobile phones, mytouch phones to anyone.","I would not recommend this for tmobile, mytouch phones to anyone."
The best thing is nong shim shin noodle ramyun.,the real thing is nong shim shin noodle ramyun .,Yang terbaik adalah mie ramyun nong shim shin.,yang asli adalah mie ramyun nong shim shin.,The best is the nong shim shin ramyun noodles.,the original is nong shim shin ramyun noodles.
the atari game was super fun,"to ataris credit ,  this game was a bit fun .",permainan atari sangat menyenangkan,"untuk kredit ataris, permainan ini sedikit menyenangkan.",Atari games are a lot of fun,"to ataris' credit, the game is a bit of fun."
camera never fell off .,camera fell of it after a few uses .,kamera tidak pernah jatuh.,kamera terjatuh setelah beberapa kali digunakan.,the camera never falls.,the camera fell after a few uses.
works great as advertised,these definitely open up your nasal passages and functionally work as advertised .,berfungsi dengan baik seperti yang diiklankan,ini pasti membuka saluran hidung Anda dan berfungsi seperti yang diiklankan.,works fine as advertised,it definitely opens up your nasal passages and works as advertised.
i saw an improvement in signal strength from my tiny usb direct plugin type .,i expected an improvement in signal strength from my tiny usb direct plugin type .,saya melihat peningkatan kekuatan sinyal dari jenis plugin usb direct kecil saya.,saya mengharapkan peningkatan kekuatan sinyal dari jenis plugin usb direct kecil saya.,i noticed an increase in signal strength from my little usb direct plugin type.,i was hoping for an increase in signal strength from my little usb direct type plugin.
i loved adjusting the volumes on the ipod and the cassette player .,i adjusted the volumes on the ipod and the cassette player .,saya suka mengatur volume pada ipod dan pemutar kaset.,saya menyesuaikan volume pada ipod dan pemutar kaset.,I like to adjust the volume on my iPod and cassette player.,I adjust the volume on the iPod and cassette player.
i love the toy bubblers that amazon sells.,would suggest using one of the toy bubblers amazon sells .,saya suka mainan bubbler yang dijual amazon.,akan menyarankan menggunakan salah satu mainan bubbler yang dijual amazon.,I like the bubbler toys sold on Amazon.,would suggest using one of the bubbler toys that amazon sells.
and it is very possible that these are really good cables.,and it is very possible that these are good cables .,dan kemungkinan besar ini adalah kabel yang sangat bagus.,dan sangat mungkin kabel ini bagus.,and most likely this is a very good cable.,and it's very possible that this cable is good.
I always purchase my sets from this vendor.,i did not purchase my set from this vendor .,Saya selalu membeli set saya dari vendor ini.,saya tidak membeli set saya dari vendor ini.,I always buy my sets from this vendor.,I did not purchase my set from this vendor.
but it really improved my face.,but it didn t do anything for my face .,tapi itu benar-benar memperbaiki wajahku.,tapi itu tidak berpengaruh apa pun pada wajahku.,but it really improved my face.,but it didn't do anything to my face.
"nevertheless, the aroma lingers for a long time.","nevertheless ,  the smell lasts for num_num or num_num minutes tops .","Meski begitu, aromanya tetap bertahan lama.","namun demikian, baunya bertahan paling lama num_num atau num_num menit.","Even so, the aroma still lasts a long time.","however, the smell lasts a maximum of num_num or num_num minutes."
i bought this wonderful toy for my boys a few years back .,i bought this toy for my boys a few years back .,saya membeli mainan yang luar biasa ini untuk anak laki-laki saya beberapa tahun yang lalu.,saya membeli mainan ini untuk anak laki-laki saya beberapa tahun yang lalu.,i bought this awesome toy for my son a few years ago.,I bought this toy for my son a few years ago.
great color and perfect volume,"it s very black ,  and it does add volume .",warna bagus dan volume sempurna,"warnanya sangat hitam, dan menambah volume.",nice color and perfect volume,"it's very black, and adds volume."
this cord was a deal and got stellar reviews!,this cord seemed like a deal and got good reviews .,kabel ini bagus dan mendapat ulasan yang luar biasa!,kabel ini sepertinya bagus dan mendapat ulasan bagus.,This cable is great and gets great reviews!,This cable seems good and gets good reviews.
so please stop buying this so hopefully they will lower the price a little,so please stop buying this and maybe they will lower the price .,jadi tolong berhenti membeli ini semoga saja mereka akan menurunkan harganya sedikit,jadi tolong berhenti membeli ini dan mungkin mereka akan menurunkan harganya.,so please stop buying this hopefully they will lower the price a bit,so please stop buying this and maybe they will lower the price.
"I had no rust problems, unlike a few others.",i didn t have the rust problems that others had .,"Saya tidak punya masalah karat, tidak seperti beberapa lainnya.",saya tidak mempunyai masalah karat seperti yang dialami orang lain.,"I haven't had any rust problems, unlike some others.",I don't have the rust problems that others do.
"thought, hey why not try something exciting might work","thought ,  hey why not try something different might work .","berpikir, hei kenapa tidak mencoba sesuatu yang menarik mungkin berhasil","berpikir, hei kenapa tidak mencoba sesuatu yang berbeda mungkin berhasil.","thought, hey why not try something interesting it might work","thought, hey why not try something different it might work."
the tipping factor is great with this acrylic one,the problem with the acrylic ones i ve found is the tipping factor .,faktor tipnya bagus dengan yang akrilik ini,masalah dengan akrilik yang saya temukan adalah faktor tipping.,the tip factor is good with this acrylic one,the problem with acrylic that I have found is the tipping factor.
I did not even need to research this brand more,my goof to not research this brand more .,Saya bahkan tidak perlu meneliti merek ini lebih lanjut,kesalahan saya untuk tidak meneliti merek ini lebih jauh.,I didn't even need to research this brand any further,My mistake for not researching this brand further.
I've had many lighters and this is the best .,i ve had many lighters and this one might be the best .,Saya punya banyak korek api dan ini yang terbaik.,saya punya banyak korek api dan yang ini mungkin yang terbaik.,I have many lighters and this is the best.,I have a lot of lighters and this one is probably the best.
